iteration,trial_id,score,config
229,1451f7b3,0.6195238095238095,"{'min_delta': 0.214, 'temperature': 0.7000000000000001, 'batch_size': 484, 'latent_dim': 13}"
513,64bfd065,0.727857142857143,"{'min_delta': 0.026000000000000002, 'temperature': 0.2, 'batch_size': 330, 'latent_dim': 36}"
615,d551ee38,0.6466666666666667,"{'min_delta': 0.741, 'temperature': 1.4000000000000001, 'batch_size': 457, 'latent_dim': 188}"
641,99b1459c,0.6447619047619048,"{'min_delta': 0.1, 'temperature': 0.5, 'batch_size': 393, 'latent_dim': 131}"
876,c42d22c5,0.6488095238095238,"{'min_delta': 0.589, 'temperature': 0.8, 'batch_size': 354, 'latent_dim': 281}"
916,f56f258d,0.6173809523809524,"{'min_delta': 0.663, 'temperature': 1.0, 'batch_size': 321, 'latent_dim': 122}"
1006,890661f6,0.6742857142857144,"{'min_delta': 0.28700000000000003, 'temperature': 1.2000000000000002, 'batch_size': 295, 'latent_dim': 290}"
1021,b9b77e89,0.6647619047619049,"{'min_delta': 0.394, 'temperature': 1.0, 'batch_size': 340, 'latent_dim': 179}"
1165,3c8f4546,0.6126190476190476,"{'min_delta': 0.048, 'temperature': 1.1, 'batch_size': 353, 'latent_dim': 9}"
1371,6aaca599,0.6307142857142857,"{'min_delta': 0.105, 'temperature': 2.0, 'batch_size': 272, 'latent_dim': 240}"
1405,d0930753,0.7347619047619048,"{'min_delta': 0.137, 'temperature': 0.1, 'batch_size': 465, 'latent_dim': 254}"
1475,07ddbd59,0.7202380952380951,"{'min_delta': 0.013000000000000001, 'temperature': 0.2, 'batch_size': 157, 'latent_dim': 232}"
1546,cd02a77b,0.629047619047619,"{'min_delta': 0.784, 'temperature': 1.1, 'batch_size': 286, 'latent_dim': 331}"
1641,f6aa8df5,0.6545238095238095,"{'min_delta': 0.099, 'temperature': 1.1, 'batch_size': 507, 'latent_dim': 95}"
1659,86ab13f3,0.6600000000000001,"{'min_delta': 0.614, 'temperature': 1.8, 'batch_size': 295, 'latent_dim': 258}"
1733,fdee9a6b,0.6428571428571429,"{'min_delta': 0.324, 'temperature': 1.7000000000000002, 'batch_size': 181, 'latent_dim': 38}"
1828,dfdd3a02,0.6047619047619047,"{'min_delta': 0.47100000000000003, 'temperature': 1.1, 'batch_size': 454, 'latent_dim': 34}"
1887,5c775bb5,0.6452380952380953,"{'min_delta': 0.775, 'temperature': 1.6, 'batch_size': 287, 'latent_dim': 269}"
1896,58c81f0b,0.6647619047619049,"{'min_delta': 0.737, 'temperature': 0.8, 'batch_size': 342, 'latent_dim': 80}"
2018,bba5a16e,0.6857142857142857,"{'min_delta': 0.043000000000000003, 'temperature': 0.5, 'batch_size': 148, 'latent_dim': 297}"
2225,c2d8a73e,0.6840476190476191,"{'min_delta': 0.202, 'temperature': 0.30000000000000004, 'batch_size': 410, 'latent_dim': 192}"
2238,5fdb4f82,0.6642857142857144,"{'min_delta': 0.89, 'temperature': 0.4, 'batch_size': 235, 'latent_dim': 157}"
2304,faf2dd9d,0.710952380952381,"{'min_delta': 0.203, 'temperature': 0.1, 'batch_size': 225, 'latent_dim': 359}"
2336,a7eb019d,0.6802380952380953,"{'min_delta': 0.48, 'temperature': 0.1, 'batch_size': 397, 'latent_dim': 217}"
2491,fa5de286,0.6523809523809524,"{'min_delta': 0.14200000000000002, 'temperature': 0.30000000000000004, 'batch_size': 499, 'latent_dim': 76}"
2584,a2068bff,0.6571428571428573,"{'min_delta': 0.28, 'temperature': 0.6000000000000001, 'batch_size': 422, 'latent_dim': 333}"
2699,3c69b3cb,0.615,"{'min_delta': 0.157, 'temperature': 0.7000000000000001, 'batch_size': 477, 'latent_dim': 161}"
2743,11c98e63,0.6471428571428571,"{'min_delta': 0.23700000000000002, 'temperature': 0.2, 'batch_size': 376, 'latent_dim': 41}"
2774,fc729aa3,0.6976190476190476,"{'min_delta': 0.387, 'temperature': 0.1, 'batch_size': 235, 'latent_dim': 318}"
2899,e96c72c3,0.6980952380952381,"{'min_delta': 0.007, 'temperature': 0.30000000000000004, 'batch_size': 438, 'latent_dim': 212}"
2925,e1915854,0.6402380952380952,"{'min_delta': 0.528, 'temperature': 1.4000000000000001, 'batch_size': 489, 'latent_dim': 121}"
3158,c34d575f,0.6723809523809525,"{'min_delta': 0.382, 'temperature': 0.5, 'batch_size': 208, 'latent_dim': 249}"
3276,9d53caaa,0.6566666666666667,"{'min_delta': 0.307, 'temperature': 1.3, 'batch_size': 257, 'latent_dim': 150}"
3286,5b50cdc5,0.6730952380952382,"{'min_delta': 0.065, 'temperature': 0.6000000000000001, 'batch_size': 467, 'latent_dim': 302}"
3294,fb40bdb5,0.6716666666666667,"{'min_delta': 0.149, 'temperature': 0.8, 'batch_size': 370, 'latent_dim': 353}"
3360,a4b27043,0.6404761904761904,"{'min_delta': 0.231, 'temperature': 0.9, 'batch_size': 319, 'latent_dim': 193}"
3524,b1e5fe93,0.6645238095238096,"{'min_delta': 0.353, 'temperature': 0.2, 'batch_size': 432, 'latent_dim': 62}"
3622,9df400da,0.7102380952380952,"{'min_delta': 0.003, 'temperature': 0.4, 'batch_size': 317, 'latent_dim': 105}"
3643,d9173ae1,0.6397619047619048,"{'min_delta': 0.259, 'temperature': 0.6000000000000001, 'batch_size': 130, 'latent_dim': 140}"
3761,1b349901,0.643095238095238,"{'min_delta': 0.526, 'temperature': 0.9, 'batch_size': 185, 'latent_dim': 175}"
3778,fe9e51dd,0.6033333333333333,"{'min_delta': 0.436, 'temperature': 1.5, 'batch_size': 266, 'latent_dim': 18}"
