iteration,trial_id,score,config
565,a1973d84,-0.1,"{'min_delta': 0.394, 'temperature': 0.8, 'batch_size': 415, 'latent_dim': 212}"
650,eb77cc87,0.661864406779661,"{'min_delta': 0.14200000000000002, 'temperature': 0.6000000000000001, 'batch_size': 179, 'latent_dim': 4}"
746,1cd2ad63,-0.1,"{'min_delta': 0.495, 'temperature': 1.6, 'batch_size': 134, 'latent_dim': 285}"
785,2fb32460,-0.1,"{'min_delta': 0.01, 'temperature': 0.7000000000000001, 'batch_size': 491, 'latent_dim': 305}"
808,70655493,-0.1,"{'min_delta': 0.253, 'temperature': 1.5, 'batch_size': 189, 'latent_dim': 319}"
875,5740735d,-0.1,"{'min_delta': 0.532, 'temperature': 1.6, 'batch_size': 310, 'latent_dim': 165}"
925,19279797,-0.1,"{'min_delta': 0.126, 'temperature': 0.8, 'batch_size': 439, 'latent_dim': 42}"
933,fc721932,-0.1,"{'min_delta': 0.664, 'temperature': 1.4000000000000001, 'batch_size': 208, 'latent_dim': 301}"
976,54d82545,-0.1,"{'min_delta': 0.861, 'temperature': 1.6, 'batch_size': 347, 'latent_dim': 61}"
1043,f87a1db1,-0.1,"{'min_delta': 0.185, 'temperature': 1.6, 'batch_size': 267, 'latent_dim': 268}"
1106,f21c03ef,0.7021186440677967,"{'min_delta': 0.14, 'temperature': 1.1, 'batch_size': 196, 'latent_dim': 90}"
1109,a45e9d90,-0.1,"{'min_delta': 0.194, 'temperature': 0.30000000000000004, 'batch_size': 478, 'latent_dim': 306}"
1179,c52c5ead,-0.1,"{'min_delta': 0.065, 'temperature': 1.7000000000000002, 'batch_size': 440, 'latent_dim': 105}"
1183,4518a1cf,0.6755084745762712,"{'min_delta': 0.084, 'temperature': 1.8, 'batch_size': 502, 'latent_dim': 78}"
1200,01e020fe,-0.1,"{'min_delta': 0.249, 'temperature': 0.2, 'batch_size': 344, 'latent_dim': 241}"
1220,d49bbe66,-0.1,"{'min_delta': 0.11800000000000001, 'temperature': 1.3, 'batch_size': 412, 'latent_dim': 133}"
1298,a2c37a4e,-0.1,"{'min_delta': 0.683, 'temperature': 1.3, 'batch_size': 398, 'latent_dim': 185}"
1318,aeb06c0b,-0.1,"{'min_delta': 0.317, 'temperature': 0.6000000000000001, 'batch_size': 352, 'latent_dim': 32}"
