iteration,trial_id,score,config
281,77a7509c,0.5563380281690141,"{'temperature': 1.2000000000000002, 'latent_dim': 105, 'transform_funcs': (2, 7, 8, 10)}"
310,9f44c212,0.5751173708920188,"{'temperature': 0.8, 'latent_dim': 139, 'transform_funcs': (2, 5, 8, 10)}"
425,eb53e0a1,0.504225352112676,"{'temperature': 0.6000000000000001, 'latent_dim': 114, 'transform_funcs': (1, 4, 6, 9)}"
434,9bbf8da5,0.5838028169014085,"{'temperature': 0.6000000000000001, 'latent_dim': 112, 'transform_funcs': (1, 4)}"
534,146acc52,0.5985915492957746,"{'temperature': 0.7000000000000001, 'latent_dim': 76, 'transform_funcs': (2, 6, 8, 11)}"
553,f52a7221,0.5,"{'temperature': 1.5, 'latent_dim': 76, 'transform_funcs': (0, 4, 5, 10)}"
555,810abb12,0.5845070422535211,"{'temperature': 0.7000000000000001, 'latent_dim': 66, 'transform_funcs': (3, 4, 5, 11)}"
673,4a0e57b4,0.5657276995305164,"{'temperature': 1.3, 'latent_dim': 153, 'transform_funcs': (0, 5, 8, 9)}"
733,b3f32e1a,0.5375586854460094,"{'temperature': 1.3, 'latent_dim': 110, 'transform_funcs': (3, 8, 10)}"
778,c41b2732,0.596244131455399,"{'temperature': 1.1, 'latent_dim': 39, 'transform_funcs': (2, 11)}"
824,726570d2,0.6068075117370891,"{'temperature': 1.3, 'latent_dim': 177, 'transform_funcs': (0, 1, 11)}"
843,6284d4cc,0.6009389671361502,"{'temperature': 1.4000000000000001, 'latent_dim': 107, 'transform_funcs': (2, 6, 7, 9)}"
857,5a252990,0.5610328638497653,"{'temperature': 1.1, 'latent_dim': 34, 'transform_funcs': (0, 1, 4, 8)}"
954,88946831,0.5892018779342723,"{'temperature': 0.9, 'latent_dim': 85, 'transform_funcs': (1, 6, 8, 9)}"
956,d3fa92bd,0.5422535211267606,"{'temperature': 0.9, 'latent_dim': 166, 'transform_funcs': (3, 4, 5, 11)}"
987,aea0fde0,0.5624413145539905,"{'temperature': 0.6000000000000001, 'latent_dim': 63, 'transform_funcs': (1, 3, 4, 5)}"
1103,aa542c33,0.4812206572769953,"{'temperature': 1.5, 'latent_dim': 162, 'transform_funcs': (1, 6, 9, 10)}"
1130,dac031db,0.5532863849765259,"{'temperature': 0.8, 'latent_dim': 127, 'transform_funcs': (0, 3, 4, 5)}"
1176,c0e322b5,0.5375586854460093,"{'temperature': 0.6000000000000001, 'latent_dim': 82, 'transform_funcs': (3, 4, 8, 10)}"
1182,e1135e0d,0.5539906103286385,"{'temperature': 0.8, 'latent_dim': 127, 'transform_funcs': (4, 7, 8)}"
1228,14037776,0.5446009389671361,"{'temperature': 1.4000000000000001, 'latent_dim': 173, 'transform_funcs': (0, 3, 9)}"
1261,3b303da1,0.4978873239436619,"{'temperature': 1.4000000000000001, 'latent_dim': 179, 'transform_funcs': (2, 9)}"
1294,f30680d3,0.5140845070422535,"{'temperature': 1.4000000000000001, 'latent_dim': 7, 'transform_funcs': (1, 6, 11)}"
1301,ab531c70,0.5821596244131455,"{'temperature': 1.3, 'latent_dim': 148, 'transform_funcs': (3, 6, 7, 11)}"
1315,4fcd3d43,0.488262910798122,"{'temperature': 1.2000000000000002, 'latent_dim': 44, 'transform_funcs': (1, 5, 7, 9)}"
1428,955c61a1,0.5140845070422535,"{'temperature': 1.0, 'latent_dim': 13, 'transform_funcs': (1, 2, 4, 6)}"
1433,c4c77bb4,0.5234741784037558,"{'temperature': 1.5, 'latent_dim': 97, 'transform_funcs': (4, 5, 11)}"
1514,3b5d00d4,0.5612676056338028,"{'temperature': 1.1, 'latent_dim': 133, 'transform_funcs': (0, 8, 10)}"
1521,a122917b,0.568075117370892,"{'temperature': 1.2000000000000002, 'latent_dim': 25, 'transform_funcs': (1, 2, 7, 8)}"
1553,168a22d9,0.5107981220657278,"{'temperature': 1.2000000000000002, 'latent_dim': 179, 'transform_funcs': (4, 8, 10)}"
1555,30f35f8b,0.5417840375586854,"{'temperature': 1.4000000000000001, 'latent_dim': 140, 'transform_funcs': (5, 6, 11)}"
1647,92ac3088,0.4816901408450704,"{'temperature': 1.3, 'latent_dim': 98, 'transform_funcs': (3, 6, 8, 11)}"
1677,f5188036,0.5164319248826291,"{'temperature': 1.4000000000000001, 'latent_dim': 118, 'transform_funcs': (0, 2, 3, 5)}"
1680,2a1472e2,0.5516431924882629,"{'temperature': 1.5, 'latent_dim': 144, 'transform_funcs': (2, 4, 6)}"
1778,5a8bceb4,0.4969483568075117,"{'temperature': 1.0, 'latent_dim': 59, 'transform_funcs': (3, 8, 10, 11)}"
1780,8ab39f80,0.5577464788732394,"{'temperature': 1.1, 'latent_dim': 160, 'transform_funcs': (3, 7, 10)}"
1823,a8d3eefd,0.5316901408450705,"{'temperature': 1.3, 'latent_dim': 48, 'transform_funcs': (3, 8, 9, 11)}"
1880,e6ce12fc,0.5610328638497653,"{'temperature': 1.5, 'latent_dim': 55, 'transform_funcs': (7, 10, 11)}"
1898,d05a1a3c,0.5870892018779343,"{'temperature': 1.2000000000000002, 'latent_dim': 121, 'transform_funcs': (0, 1, 11)}"
1910,f57d2945,0.4751173708920188,"{'temperature': 1.3, 'latent_dim': 105, 'transform_funcs': (4, 9, 10)}"
1953,797739bc,0.588262910798122,"{'temperature': 0.9, 'latent_dim': 73, 'transform_funcs': (1, 2, 5)}"
1992,cbcbc67a,0.5502347417840375,"{'temperature': 0.5, 'latent_dim': 24, 'transform_funcs': (0, 1, 5, 9)}"
2060,b224adf5,0.4690140845070422,"{'temperature': 1.1, 'latent_dim': 92, 'transform_funcs': (5, 7, 9, 10)}"
2107,e40fc2d5,0.5011737089201878,"{'temperature': 1.4000000000000001, 'latent_dim': 153, 'transform_funcs': (1, 4, 6, 11)}"
2122,1cb9c67b,0.5751173708920188,"{'temperature': 1.0, 'latent_dim': 107, 'transform_funcs': (0, 3, 6)}"
2139,000fb7d2,0.5417840375586854,"{'temperature': 0.7000000000000001, 'latent_dim': 131, 'transform_funcs': (4, 5)}"
2237,c3267301,0.5422535211267606,"{'temperature': 1.5, 'latent_dim': 155, 'transform_funcs': (2, 4, 7, 11)}"
2239,88c63fbc,0.5450704225352112,"{'temperature': 1.3, 'latent_dim': 169, 'transform_funcs': (0, 4, 10, 11)}"
2279,dd7cf02f,0.596244131455399,"{'temperature': 1.4000000000000001, 'latent_dim': 113, 'transform_funcs': (2, 6, 9, 10)}"
2282,fec47bdc,0.5211267605633803,"{'temperature': 1.2000000000000002, 'latent_dim': 70, 'transform_funcs': (6, 8, 10, 11)}"
2368,c2e3babd,0.5704225352112676,"{'temperature': 1.2000000000000002, 'latent_dim': 136, 'transform_funcs': (3, 7, 8)}"
2395,b9278388,0.568075117370892,"{'temperature': 0.9, 'latent_dim': 82, 'transform_funcs': (2, 3, 5)}"
2473,8e8799a1,0.4563380281690141,"{'temperature': 1.5, 'latent_dim': 174, 'transform_funcs': (0, 3, 5, 8)}"
2513,b21e4069,0.5516431924882629,"{'temperature': 1.4000000000000001, 'latent_dim': 86, 'transform_funcs': (2, 3, 9, 10)}"
2560,6b715c32,0.5140845070422535,"{'temperature': 1.3, 'latent_dim': 35, 'transform_funcs': (0, 6, 10, 11)}"
2588,b89a3b98,0.5274647887323944,"{'temperature': 1.1, 'latent_dim': 123, 'transform_funcs': (3, 6, 10, 11)}"
2644,4f58f4c9,0.6103286384976526,"{'temperature': 0.8, 'latent_dim': 145, 'transform_funcs': (1, 2, 9, 11)}"
2661,837a2487,0.6009389671361502,"{'temperature': 1.4000000000000001, 'latent_dim': 24, 'transform_funcs': (0, 2, 7, 9)}"
2713,f581c9b8,0.5140845070422535,"{'temperature': 1.0, 'latent_dim': 158, 'transform_funcs': (3, 7, 9, 10)}"
2812,801f42fe,0.5117370892018779,"{'temperature': 0.5, 'latent_dim': 98, 'transform_funcs': (0, 2, 4, 11)}"
2822,4ca73647,0.5049295774647887,"{'temperature': 0.8, 'latent_dim': 147, 'transform_funcs': (0, 5, 9, 10)}"
2832,50b0678e,0.5704225352112676,"{'temperature': 0.7000000000000001, 'latent_dim': 164, 'transform_funcs': (0, 2, 6)}"
2941,7ac79732,0.4640845070422535,"{'temperature': 0.9, 'latent_dim': 4, 'transform_funcs': (2, 7, 10)}"
2952,2caef751,0.5626760563380281,"{'temperature': 0.6000000000000001, 'latent_dim': 141, 'transform_funcs': (5, 6, 8, 11)}"
2960,8e19a7fa,0.5633802816901409,"{'temperature': 0.8, 'latent_dim': 168, 'transform_funcs': (1, 2, 6, 7)}"
2994,ec2246c7,0.5354460093896714,"{'temperature': 0.7000000000000001, 'latent_dim': 175, 'transform_funcs': (0, 6, 9, 10)}"
3008,4390cb29,0.5328638497652582,"{'temperature': 0.7000000000000001, 'latent_dim': 22, 'transform_funcs': (1, 9)}"
3045,6697a9fa,0.596244131455399,"{'temperature': 0.8, 'latent_dim': 13, 'transform_funcs': (1, 2, 9, 11)}"
3113,8d0658ff,0.47417840375586856,"{'temperature': 0.9, 'latent_dim': 149, 'transform_funcs': (3, 5, 9, 11)}"
3115,b00b978a,0.5751173708920188,"{'temperature': 1.0, 'latent_dim': 116, 'transform_funcs': (2, 3, 7, 10)}"
3118,98dc4fb4,0.4978873239436619,"{'temperature': 1.1, 'latent_dim': 91, 'transform_funcs': (0, 4, 6, 9)}"
3165,3c494814,0.48474178403755863,"{'temperature': 0.6000000000000001, 'latent_dim': 128, 'transform_funcs': (5, 6, 9)}"
3242,7d9c48b9,0.5845070422535211,"{'temperature': 0.8, 'latent_dim': 42, 'transform_funcs': (2, 3, 10, 11)}"
3275,8f4d57c7,0.5408450704225353,"{'temperature': 1.2000000000000002, 'latent_dim': 178, 'transform_funcs': (0, 1, 9, 11)}"
3282,57b52129,0.5145539906103287,"{'temperature': 1.5, 'latent_dim': 68, 'transform_funcs': (5, 10)}"
3310,278b6ecb,0.6352112676056338,"{'temperature': 0.6000000000000001, 'latent_dim': 53, 'transform_funcs': (0, 1, 2, 5)}"
3347,5f398cd4,0.4938967136150234,"{'temperature': 1.3, 'latent_dim': 77, 'transform_funcs': (6, 9, 10)}"
3393,f243cb81,0.5727699530516432,"{'temperature': 1.1, 'latent_dim': 101, 'transform_funcs': (0, 2, 7, 9)}"
3412,53be7408,0.5610328638497653,"{'temperature': 1.4000000000000001, 'latent_dim': 60, 'transform_funcs': (4, 6, 7, 10)}"
3442,a781413b,0.5457746478873238,"{'temperature': 0.9, 'latent_dim': 136, 'transform_funcs': (6, 8, 11)}"
3453,bff118c3,0.5117370892018779,"{'temperature': 0.5, 'latent_dim': 32, 'transform_funcs': (0, 2, 9, 11)}"
3534,df95be2f,0.539906103286385,"{'temperature': 0.7000000000000001, 'latent_dim': 157, 'transform_funcs': (6, 9)}"
3579,3d8c6ff4,0.5586854460093896,"{'temperature': 0.6000000000000001, 'latent_dim': 56, 'transform_funcs': (4, 5, 10)}"
3617,974c02ba,0.5446009389671361,"{'temperature': 0.6000000000000001, 'latent_dim': 31, 'transform_funcs': (1, 3, 4, 10)}"
3666,428068c5,0.5774647887323944,"{'temperature': 0.8, 'latent_dim': 17, 'transform_funcs': (1, 5, 9, 11)}"
3723,3881fc86,0.6058685446009389,"{'temperature': 0.5, 'latent_dim': 170, 'transform_funcs': (8, 9)}"
3727,f6910856,0.5570422535211267,"{'temperature': 0.5, 'latent_dim': 50, 'transform_funcs': (0, 1, 11)}"
3811,bab1d24b,0.5164319248826291,"{'temperature': 0.9, 'latent_dim': 63, 'transform_funcs': (3, 6, 7, 9)}"
3814,5080c904,0.5706572769953052,"{'temperature': 0.6000000000000001, 'latent_dim': 50, 'transform_funcs': (1, 5, 6, 10)}"
3853,2acd5e8d,0.592018779342723,"{'temperature': 0.7000000000000001, 'latent_dim': 74, 'transform_funcs': (1, 6, 8, 11)}"
3953,449a56a9,0.6032863849765259,"{'temperature': 1.0, 'latent_dim': 161, 'transform_funcs': (7, 8, 9, 11)}"
3959,44cda590,0.4732394366197183,"{'temperature': 0.7000000000000001, 'latent_dim': 152, 'transform_funcs': (4, 7, 9)}"
3975,d64dc9aa,0.6546948356807512,"{'temperature': 0.8, 'latent_dim': 122, 'transform_funcs': (1, 2, 7)}"
4004,a89a5dec,0.4948356807511737,"{'temperature': 0.5, 'latent_dim': 78, 'transform_funcs': (5, 6, 9, 10)}"
4062,2e80c981,0.4906103286384977,"{'temperature': 0.6000000000000001, 'latent_dim': 87, 'transform_funcs': (1, 3, 4, 9)}"
4125,26f5dc43,0.5509389671361503,"{'temperature': 0.7000000000000001, 'latent_dim': 110, 'transform_funcs': (1, 3, 4)}"
4150,327bc610,0.5187793427230047,"{'temperature': 0.9, 'latent_dim': 40, 'transform_funcs': (0, 4, 5, 8)}"
4161,ad9b1e36,0.5476525821596244,"{'temperature': 0.8, 'latent_dim': 122, 'transform_funcs': (0, 1, 2, 5)}"
4255,403c9be1,0.5586854460093896,"{'temperature': 0.8, 'latent_dim': 104, 'transform_funcs': (1, 4, 5, 8)}"
4334,51ee5a1e,0.7061032863849765,"{'temperature': 0.7000000000000001, 'latent_dim': 131, 'transform_funcs': (0, 1, 2, 3)}"
4346,bf3396b1,0.5305164319248826,"{'temperature': 0.8, 'latent_dim': 94, 'transform_funcs': (4, 6, 8, 11)}"
4427,cc29e10a,0.5629107981220656,"{'temperature': 0.6000000000000001, 'latent_dim': 110, 'transform_funcs': (1, 4, 5)}"
4479,898983a5,0.584037558685446,"{'temperature': 0.9, 'latent_dim': 136, 'transform_funcs': (5, 8, 11)}"
4549,86308866,0.6507042253521127,"{'temperature': 0.7000000000000001, 'latent_dim': 130, 'transform_funcs': (0, 1, 2, 3)}"
4571,5db14f86,0.5352112676056338,"{'temperature': 0.6000000000000001, 'latent_dim': 118, 'transform_funcs': (4, 6, 7)}"
4621,0661285d,0.5941314553990611,"{'temperature': 0.5, 'latent_dim': 145, 'transform_funcs': (3, 7, 10, 11)}"
4676,075c8cdd,0.5251173708920188,"{'temperature': 0.7000000000000001, 'latent_dim': 101, 'transform_funcs': (3, 4, 5, 6)}"
4721,3441a99c,0.4992957746478874,"{'temperature': 0.7000000000000001, 'latent_dim': 125, 'transform_funcs': (0, 1, 2, 3)}"
4748,8e5aaea9,0.5305164319248826,"{'temperature': 0.7000000000000001, 'latent_dim': 130, 'transform_funcs': (4, 5, 7, 11)}"
4770,e8cab35e,0.5633802816901409,"{'temperature': 0.6000000000000001, 'latent_dim': 81, 'transform_funcs': (3, 5, 8, 10)}"
4836,78eec2d2,0.5774647887323944,"{'temperature': 0.8, 'latent_dim': 114, 'transform_funcs': (0, 2, 6, 7)}"
4892,80aab832,0.5509389671361502,"{'temperature': 0.9, 'latent_dim': 142, 'transform_funcs': (0, 5, 11)}"
4900,7ecf72d1,0.6356807511737088,"{'temperature': 1.0, 'latent_dim': 120, 'transform_funcs': (0, 3, 7, 8)}"
4930,93101570,0.5647887323943662,"{'temperature': 0.9, 'latent_dim': 150, 'transform_funcs': (2, 7, 11)}"
5006,46e7472e,0.5586854460093896,"{'temperature': 0.5, 'latent_dim': 94, 'transform_funcs': (1, 2, 7)}"
