iteration,trial_id,score,config
479,49691267,0.6590476190476192,"{'temperature': 1.1, 'latent_dim': 175, 'transform_funcs': (3, 5, 6, 11)}"
757,6d579231,0.6385714285714286,"{'temperature': 0.6000000000000001, 'latent_dim': 30, 'transform_funcs': (5, 9, 11)}"
796,7a125061,0.6435714285714286,"{'temperature': 1.5, 'latent_dim': 175, 'transform_funcs': (3, 4, 9, 11)}"
835,d7ed2f52,0.7011904761904761,"{'temperature': 1.0, 'latent_dim': 78, 'transform_funcs': (2, 6, 7, 11)}"
898,d607fa94,0.6211904761904762,"{'temperature': 1.3, 'latent_dim': 151, 'transform_funcs': (5, 8, 9, 10)}"
1223,3ac5f915,0.7026190476190476,"{'temperature': 0.5, 'latent_dim': 148, 'transform_funcs': (0, 3, 6, 10)}"
1287,8afadcc4,0.611904761904762,"{'temperature': 0.9, 'latent_dim': 121, 'transform_funcs': (0, 4, 6, 8)}"
1319,a81b8bb7,0.7771428571428571,"{'temperature': 0.9, 'latent_dim': 140, 'transform_funcs': (6, 7, 11)}"
1356,60ae683e,0.6428571428571429,"{'temperature': 1.5, 'latent_dim': 4, 'transform_funcs': (1, 2, 8, 11)}"
1610,d927f1b1,0.7447619047619047,"{'temperature': 0.6000000000000001, 'latent_dim': 173, 'transform_funcs': (3, 4, 5, 6)}"
1843,d48aea4c,0.6902380952380953,"{'temperature': 0.7000000000000001, 'latent_dim': 73, 'transform_funcs': (0, 6, 8)}"
1930,02458b3d,0.6221428571428571,"{'temperature': 1.4000000000000001, 'latent_dim': 103, 'transform_funcs': (0, 3, 5, 11)}"
2042,33177cc8,0.72,"{'temperature': 0.7000000000000001, 'latent_dim': 97, 'transform_funcs': (1, 3, 8, 10)}"
2075,f262ca8b,0.8026190476190477,"{'temperature': 0.8, 'latent_dim': 108, 'transform_funcs': (1, 8, 11)}"
2233,25d35a07,0.598095238095238,"{'temperature': 1.4000000000000001, 'latent_dim': 3, 'transform_funcs': (1, 2, 6, 7)}"
2432,f3c50cd8,0.6452380952380953,"{'temperature': 0.5, 'latent_dim': 75, 'transform_funcs': (1, 4, 5, 11)}"
2546,50f5225b,0.6504761904761904,"{'temperature': 0.9, 'latent_dim': 137, 'transform_funcs': (4, 6, 7, 8)}"
2659,6c674f3a,0.7414285714285714,"{'temperature': 1.3, 'latent_dim': 126, 'transform_funcs': (0, 7, 8)}"
2775,408eca27,0.8219047619047618,"{'temperature': 0.6000000000000001, 'latent_dim': 50, 'transform_funcs': (5, 7, 10, 11)}"
2983,34c68328,0.6252380952380953,"{'temperature': 0.5, 'latent_dim': 106, 'transform_funcs': (0, 4, 8, 10)}"
3078,8ec44028,0.6273809523809524,"{'temperature': 1.1, 'latent_dim': 156, 'transform_funcs': (2, 3, 8, 11)}"
3114,c6b8a182,0.7935714285714286,"{'temperature': 0.8, 'latent_dim': 117, 'transform_funcs': (1, 3, 6, 10)}"
3592,fc4ba985,0.6369047619047619,"{'temperature': 0.9, 'latent_dim': 53, 'transform_funcs': (2, 6, 10, 11)}"
