iteration,trial_id,score,config
317,f7c2c635,0.6147058823529412,"{'temperature': 0.8, 'latent_dim': 32, 'transform_funcs': (1, 3, 6)}"
328,3ea87c12,0.6441176470588236,"{'temperature': 0.9, 'latent_dim': 116, 'transform_funcs': (0, 1, 2, 10)}"
503,57ddfe04,0.6970588235294117,"{'temperature': 0.8, 'latent_dim': 128, 'transform_funcs': (0, 5, 6, 9)}"
587,e02e5e1b,0.6355882352941176,"{'temperature': 0.8, 'latent_dim': 141, 'transform_funcs': (5, 6, 7, 8)}"
626,b1bd1611,0.6352941176470588,"{'temperature': 1.5, 'latent_dim': 181, 'transform_funcs': (2, 5, 8)}"
631,0d1fa0d5,0.5970588235294118,"{'temperature': 1.4000000000000001, 'latent_dim': 11, 'transform_funcs': (0, 1, 2, 5)}"
858,70709e85,0.6529411764705882,"{'temperature': 1.4000000000000001, 'latent_dim': 177, 'transform_funcs': (4, 5, 7, 9)}"
1050,42792380,0.7382352941176471,"{'temperature': 0.7000000000000001, 'latent_dim': 151, 'transform_funcs': (3, 5, 7, 11)}"
1127,7fa686dc,0.7564705882352941,"{'temperature': 1.3, 'latent_dim': 219, 'transform_funcs': (1, 8, 11)}"
1230,067047f6,0.638235294117647,"{'temperature': 0.5, 'latent_dim': 358, 'transform_funcs': (0, 2)}"
1369,cc7c5e22,0.6823529411764706,"{'temperature': 0.9, 'latent_dim': 100, 'transform_funcs': (1, 3, 4, 11)}"
1462,61f02e3b,0.7147058823529412,"{'temperature': 1.1, 'latent_dim': 263, 'transform_funcs': (1, 5, 8, 11)}"
1647,cbe0f45a,0.6452941176470588,"{'temperature': 1.0, 'latent_dim': 34, 'transform_funcs': (5, 11)}"
1759,27982b9a,0.6794117647058824,"{'temperature': 1.0, 'latent_dim': 336, 'transform_funcs': (5, 10, 11)}"
1817,bd7cf861,0.6791176470588236,"{'temperature': 0.7000000000000001, 'latent_dim': 186, 'transform_funcs': (0, 8, 10, 11)}"
1854,b9093bca,0.6832352941176472,"{'temperature': 0.6000000000000001, 'latent_dim': 184, 'transform_funcs': (4, 9)}"
1970,02976f1b,0.6705882352941176,"{'temperature': 0.7000000000000001, 'latent_dim': 242, 'transform_funcs': (2, 4, 7)}"
