iteration,trial_id,score,config
343,e7eb174f,0.8014285714285714,"{'min_delta': 0.776, 'temperature_head': 0.30000000000000004, 'batch_size': 486, 'latent_dim': 43}"
573,47ac4dce,0.7821428571428571,"{'min_delta': 0.075, 'temperature_head': 0.7000000000000001, 'batch_size': 409, 'latent_dim': 16}"
706,84e172b5,0.7690476190476191,"{'min_delta': 0.146, 'temperature_head': 0.5, 'batch_size': 221, 'latent_dim': 91}"
752,3d15168d,0.8385714285714286,"{'min_delta': 0.023, 'temperature_head': 0.2, 'batch_size': 366, 'latent_dim': 177}"
932,b5e8908d,0.7928571428571428,"{'min_delta': 0.8240000000000001, 'temperature_head': 0.8, 'batch_size': 256, 'latent_dim': 133}"
998,4ce607f2,0.799047619047619,"{'min_delta': 0.554, 'temperature_head': 0.9, 'batch_size': 345, 'latent_dim': 154}"
1107,e4f3c129,0.815952380952381,"{'min_delta': 0.169, 'temperature_head': 0.4, 'batch_size': 493, 'latent_dim': 136}"
1162,5ae4f5e5,0.8061904761904761,"{'min_delta': 0.5700000000000001, 'temperature_head': 0.5, 'batch_size': 419, 'latent_dim': 147}"
1286,4f2df412,0.7852380952380952,"{'min_delta': 0.5730000000000001, 'temperature_head': 1.0, 'batch_size': 377, 'latent_dim': 88}"
1336,8717358b,0.8204761904761904,"{'min_delta': 0.551, 'temperature_head': 0.6000000000000001, 'batch_size': 285, 'latent_dim': 81}"
1522,1f1b22c1,0.7938095238095237,"{'min_delta': 0.322, 'temperature_head': 0.4, 'batch_size': 143, 'latent_dim': 46}"
1648,c7327309,0.7785714285714286,"{'min_delta': 0.265, 'temperature_head': 1.0, 'batch_size': 237, 'latent_dim': 159}"
1858,aab5ecf5,0.8373809523809523,"{'min_delta': 0.26, 'temperature_head': 0.1, 'batch_size': 503, 'latent_dim': 115}"
1956,dea62e83,0.8192857142857143,"{'min_delta': 0.862, 'temperature_head': 0.1, 'batch_size': 212, 'latent_dim': 84}"
2002,2bffc4d2,0.7866666666666666,"{'min_delta': 0.522, 'temperature_head': 0.9, 'batch_size': 205, 'latent_dim': 115}"
2026,4b2bd9c8,0.8302380952380952,"{'min_delta': 0.178, 'temperature_head': 0.30000000000000004, 'batch_size': 152, 'latent_dim': 75}"
2032,b537cf57,0.8402380952380952,"{'min_delta': 0.834, 'temperature_head': 0.1, 'batch_size': 245, 'latent_dim': 67}"
2344,371b4c00,0.8247619047619047,"{'min_delta': 0.095, 'temperature_head': 0.1, 'batch_size': 380, 'latent_dim': 46}"
2350,49b10620,0.8047619047619048,"{'min_delta': 0.656, 'temperature_head': 0.4, 'batch_size': 328, 'latent_dim': 30}"
2437,38bbef58,0.8223809523809523,"{'min_delta': 0.867, 'temperature_head': 1.0, 'batch_size': 482, 'latent_dim': 166}"
2549,76bca7f0,0.8183333333333334,"{'min_delta': 0.011, 'temperature_head': 0.2, 'batch_size': 460, 'latent_dim': 178}"
2557,3859e48e,0.8207142857142857,"{'min_delta': 0.331, 'temperature_head': 0.2, 'batch_size': 443, 'latent_dim': 118}"
2777,d978522e,0.8283333333333334,"{'min_delta': 0.443, 'temperature_head': 0.2, 'batch_size': 292, 'latent_dim': 62}"
2780,e50e102f,0.8138095238095238,"{'min_delta': 0.444, 'temperature_head': 0.30000000000000004, 'batch_size': 173, 'latent_dim': 67}"
