iteration,trial_id,score,config
305,dfc666d2,0.7829411764705883,"{'min_delta': 0.8190000000000001, 'temperature_head': 0.7000000000000001, 'batch_size': 473, 'latent_dim': 278}"
331,adbdaa5f,0.8058823529411765,"{'min_delta': 0.586, 'temperature_head': 1.0, 'batch_size': 280, 'latent_dim': 98}"
513,07f3c46c,0.8247058823529411,"{'min_delta': 0.075, 'temperature_head': 0.30000000000000004, 'batch_size': 439, 'latent_dim': 40}"
533,2a6c4e0d,0.85,"{'min_delta': 0.594, 'temperature_head': 0.4, 'batch_size': 488, 'latent_dim': 289}"
541,07d22236,0.7852941176470588,"{'min_delta': 0.623, 'temperature_head': 0.4, 'batch_size': 476, 'latent_dim': 355}"
675,b8e09ac5,0.7852941176470588,"{'min_delta': 0.157, 'temperature_head': 0.4, 'batch_size': 484, 'latent_dim': 126}"
694,6c02ae9a,0.8682352941176472,"{'min_delta': 0.899, 'temperature_head': 0.4, 'batch_size': 147, 'latent_dim': 49}"
710,ecf6f393,0.8208823529411765,"{'min_delta': 0.392, 'temperature_head': 0.30000000000000004, 'batch_size': 243, 'latent_dim': 75}"
742,3f635c3f,0.8085294117647059,"{'min_delta': 0.184, 'temperature_head': 0.5, 'batch_size': 456, 'latent_dim': 260}"
869,b2813219,0.7911764705882353,"{'min_delta': 0.211, 'temperature_head': 0.8, 'batch_size': 290, 'latent_dim': 152}"
901,83ebca02,0.8117647058823529,"{'min_delta': 0.556, 'temperature_head': 0.9, 'batch_size': 454, 'latent_dim': 183}"
919,55327b64,0.7935294117647059,"{'min_delta': 0.724, 'temperature_head': 0.8, 'batch_size': 322, 'latent_dim': 356}"
961,b79247ec,0.8058823529411765,"{'min_delta': 0.035, 'temperature_head': 0.4, 'batch_size': 476, 'latent_dim': 277}"
1094,49932a6e,0.8176470588235294,"{'min_delta': 0.602, 'temperature_head': 0.2, 'batch_size': 374, 'latent_dim': 13}"
1102,5c8673b4,0.8073529411764706,"{'min_delta': 0.617, 'temperature_head': 0.6000000000000001, 'batch_size': 190, 'latent_dim': 86}"
1167,7869929d,0.8676470588235294,"{'min_delta': 0.319, 'temperature_head': 0.2, 'batch_size': 172, 'latent_dim': 208}"
1220,213680cf,0.8176470588235294,"{'min_delta': 0.712, 'temperature_head': 0.9, 'batch_size': 510, 'latent_dim': 345}"
1326,6fe271c9,0.7676470588235293,"{'min_delta': 0.605, 'temperature_head': 0.5, 'batch_size': 422, 'latent_dim': 284}"
1338,45a49663,0.7941176470588236,"{'min_delta': 0.466, 'temperature_head': 0.8, 'batch_size': 366, 'latent_dim': 329}"
