iteration,trial_id,score,config
495,2fed42d5,0.8791176470588236,"{'temperature_head': 0.4, 'latent_dim': 565, 'transform_funcs': (2, 4, 8, 9)}"
625,fc50a38e,0.8661764705882353,"{'temperature_head': 0.9, 'latent_dim': 40, 'transform_funcs': (1, 2, 4, 9)}"
902,dbfbcc55,0.85,"{'temperature_head': 0.4, 'latent_dim': 431, 'transform_funcs': (1, 10)}"
1091,deddff41,0.8647058823529413,"{'temperature_head': 0.6000000000000001, 'latent_dim': 519, 'transform_funcs': (4, 6, 8, 9)}"
1172,86f93026,0.8764705882352941,"{'temperature_head': 0.4, 'latent_dim': 285, 'transform_funcs': (1, 2, 5, 10)}"
1203,a3b6e92d,0.8529411764705882,"{'temperature_head': 0.8, 'latent_dim': 478, 'transform_funcs': (0, 1, 4, 6)}"
1354,27a44a78,0.8823529411764706,"{'temperature_head': 1.0, 'latent_dim': 572, 'transform_funcs': (1, 4, 6, 8)}"
1647,9b7f77a4,0.8576470588235294,"{'temperature_head': 0.30000000000000004, 'latent_dim': 661, 'transform_funcs': (3, 4, 5)}"
1786,b8165045,0.861764705882353,"{'temperature_head': 0.9, 'latent_dim': 218, 'transform_funcs': (0, 3, 8, 11)}"
1842,e9a29558,0.868235294117647,"{'temperature_head': 0.4, 'latent_dim': 107, 'transform_funcs': (0, 1, 4, 5)}"
1957,618d7af9,0.8597058823529412,"{'temperature_head': 0.4, 'latent_dim': 652, 'transform_funcs': (2, 3, 7, 8)}"
2001,ff90c276,0.8470588235294118,"{'temperature_head': 0.9, 'latent_dim': 89, 'transform_funcs': (3, 8, 9)}"
2413,23155bee,0.8764705882352941,"{'temperature_head': 0.1, 'latent_dim': 204, 'transform_funcs': (0, 4, 7, 8)}"
2545,a4a91fb8,0.8491176470588234,"{'temperature_head': 0.6000000000000001, 'latent_dim': 557, 'transform_funcs': (3, 5, 10, 11)}"
2587,4fb51503,0.868235294117647,"{'temperature_head': 0.4, 'latent_dim': 439, 'transform_funcs': (1, 5, 8)}"
2655,ce09dc66,0.8588235294117647,"{'temperature_head': 0.9, 'latent_dim': 138, 'transform_funcs': (2, 5)}"
2704,673ec4ea,0.8823529411764706,"{'temperature_head': 0.1, 'latent_dim': 324, 'transform_funcs': (2, 3, 5, 9)}"
3126,dc813713,0.8764705882352941,"{'temperature_head': 0.8, 'latent_dim': 349, 'transform_funcs': (0, 4, 6)}"
3222,01a89c0c,0.8676470588235294,"{'temperature_head': 0.30000000000000004, 'latent_dim': 105, 'transform_funcs': (5, 6)}"
3320,86e381ce,0.8888235294117648,"{'temperature_head': 0.4, 'latent_dim': 266, 'transform_funcs': (1, 7, 11)}"
3442,66fde0ac,0.891470588235294,"{'temperature_head': 0.2, 'latent_dim': 590, 'transform_funcs': (2, 3, 7, 10)}"
3484,0fffac9b,0.8558823529411764,"{'temperature_head': 0.7000000000000001, 'latent_dim': 705, 'transform_funcs': (2, 8, 11)}"
3952,05fc06e7,0.8558823529411764,"{'temperature_head': 1.0, 'latent_dim': 312, 'transform_funcs': (2, 4, 8, 11)}"
3970,685ae9b5,0.8564705882352941,"{'temperature_head': 0.2, 'latent_dim': 390, 'transform_funcs': (0, 6, 8, 11)}"
4106,9102f42a,0.8794117647058823,"{'temperature_head': 0.1, 'latent_dim': 384, 'transform_funcs': (0, 3, 4, 6)}"
