iteration,trial_id,score,config
310,2d641e65,0.6518779342723005,"{'min_delta': 0.262, 'temperature_head': 0.30000000000000004, 'batch_size': 305, 'latent_dim': 138}"
420,3672b11c,0.6234741784037559,"{'min_delta': 0.589, 'temperature_head': 0.7000000000000001, 'batch_size': 495, 'latent_dim': 170}"
546,9a52c647,0.6215962441314553,"{'min_delta': 0.6, 'temperature_head': 0.9, 'batch_size': 458, 'latent_dim': 110}"
565,3d5776eb,0.6666666666666666,"{'min_delta': 0.583, 'temperature_head': 0.1, 'batch_size': 363, 'latent_dim': 170}"
661,09206572,0.6338028169014085,"{'min_delta': 0.01, 'temperature_head': 0.4, 'batch_size': 293, 'latent_dim': 79}"
663,7441d206,0.6415492957746478,"{'min_delta': 0.89, 'temperature_head': 0.4, 'batch_size': 434, 'latent_dim': 134}"
787,720c6961,0.636150234741784,"{'min_delta': 0.135, 'temperature_head': 1.0, 'batch_size': 155, 'latent_dim': 192}"
798,073ed6b0,0.631924882629108,"{'min_delta': 0.668, 'temperature_head': 0.2, 'batch_size': 354, 'latent_dim': 233}"
901,ebe56b8d,0.6438967136150235,"{'min_delta': 0.277, 'temperature_head': 0.2, 'batch_size': 221, 'latent_dim': 68}"
931,2197f449,0.6556338028169014,"{'min_delta': 0.709, 'temperature_head': 0.7000000000000001, 'batch_size': 259, 'latent_dim': 128}"
1039,cfdaa6be,0.668075117370892,"{'min_delta': 0.257, 'temperature_head': 0.2, 'batch_size': 265, 'latent_dim': 139}"
1095,8d194243,0.6640845070422535,"{'min_delta': 0.379, 'temperature_head': 0.6000000000000001, 'batch_size': 166, 'latent_dim': 259}"
1181,b20767a3,0.6286384976525823,"{'min_delta': 0.019, 'temperature_head': 0.7000000000000001, 'batch_size': 192, 'latent_dim': 154}"
1228,220aabe5,0.6032863849765258,"{'min_delta': 0.022, 'temperature_head': 0.5, 'batch_size': 327, 'latent_dim': 170}"
1328,a1c00c7d,0.6392018779342724,"{'min_delta': 0.876, 'temperature_head': 0.1, 'batch_size': 399, 'latent_dim': 39}"
1337,c31b6a26,0.6286384976525822,"{'min_delta': 0.803, 'temperature_head': 0.5, 'batch_size': 363, 'latent_dim': 253}"
1472,67276ae8,0.6103286384976526,"{'min_delta': 0.422, 'temperature_head': 0.5, 'batch_size': 327, 'latent_dim': 166}"
1481,3f9aeab7,0.6638497652582159,"{'min_delta': 0.661, 'temperature_head': 0.30000000000000004, 'batch_size': 174, 'latent_dim': 196}"
1568,fcbeb58a,0.6314553990610329,"{'min_delta': 0.835, 'temperature_head': 0.5, 'batch_size': 152, 'latent_dim': 24}"
1629,32d96b41,0.6683098591549295,"{'min_delta': 0.646, 'temperature_head': 0.4, 'batch_size': 503, 'latent_dim': 209}"
1695,697a4d3a,0.6450704225352113,"{'min_delta': 0.513, 'temperature_head': 0.1, 'batch_size': 258, 'latent_dim': 99}"
