iteration,trial_id,score,config
365,0ca4b981,0.839047619047619,"{'min_delta': 0.843, 'temperature_head': 0.8, 'batch_size': 492, 'latent_dim': 22}"
672,e72749f0,0.7880952380952381,"{'min_delta': 0.732, 'temperature_head': 0.7000000000000001, 'batch_size': 431, 'latent_dim': 106}"
948,1f5d1d92,0.8299999999999998,"{'min_delta': 0.318, 'temperature_head': 0.8, 'batch_size': 493, 'latent_dim': 236}"
1212,b2c33e2c,0.830952380952381,"{'min_delta': 0.789, 'temperature_head': 0.7000000000000001, 'batch_size': 439, 'latent_dim': 358}"
1221,fd84d438,0.8021428571428573,"{'min_delta': 0.257, 'temperature_head': 1.0, 'batch_size': 442, 'latent_dim': 60}"
1328,0593b345,0.7804761904761904,"{'min_delta': 0.602, 'temperature_head': 0.9, 'batch_size': 274, 'latent_dim': 323}"
1587,60e0866e,0.840952380952381,"{'min_delta': 0.441, 'temperature_head': 0.4, 'batch_size': 416, 'latent_dim': 80}"
1632,f744546b,0.8557142857142856,"{'min_delta': 0.165, 'temperature_head': 0.30000000000000004, 'batch_size': 421, 'latent_dim': 59}"
1638,a89c2033,0.8142857142857143,"{'min_delta': 0.199, 'temperature_head': 0.2, 'batch_size': 285, 'latent_dim': 322}"
1727,85fb41b1,0.839047619047619,"{'min_delta': 0.272, 'temperature_head': 0.9, 'batch_size': 347, 'latent_dim': 161}"
2021,c3a5517b,0.8178571428571428,"{'min_delta': 0.61, 'temperature_head': 0.5, 'batch_size': 434, 'latent_dim': 307}"
2119,37896aa8,0.8016666666666667,"{'min_delta': 0.241, 'temperature_head': 0.4, 'batch_size': 143, 'latent_dim': 156}"
2280,51b63c89,0.8238095238095238,"{'min_delta': 0.579, 'temperature_head': 0.5, 'batch_size': 253, 'latent_dim': 173}"
2364,6d49eeb5,0.7976190476190477,"{'min_delta': 0.214, 'temperature_head': 0.7000000000000001, 'batch_size': 144, 'latent_dim': 310}"
2379,8e89fa5e,0.8642857142857143,"{'min_delta': 0.883, 'temperature_head': 0.2, 'batch_size': 220, 'latent_dim': 302}"
2560,4939c6e1,0.8071428571428572,"{'min_delta': 0.7000000000000001, 'temperature_head': 0.5, 'batch_size': 276, 'latent_dim': 213}"
2663,5bc8a369,0.8228571428571427,"{'min_delta': 0.177, 'temperature_head': 0.5, 'batch_size': 339, 'latent_dim': 70}"
2670,69c0ddeb,0.8071428571428572,"{'min_delta': 0.765, 'temperature_head': 0.8, 'batch_size': 346, 'latent_dim': 168}"
2744,83a83697,0.16666666666666669,"{'min_delta': 0.075, 'temperature_head': 0.1, 'batch_size': 200, 'latent_dim': 2}"
2831,d6a68cd6,0.8261904761904761,"{'min_delta': 0.891, 'temperature_head': 0.9, 'batch_size': 202, 'latent_dim': 113}"
3021,5191051c,0.8071428571428572,"{'min_delta': 0.521, 'temperature_head': 0.2, 'batch_size': 216, 'latent_dim': 29}"
3301,015d2b50,0.8273809523809523,"{'min_delta': 0.404, 'temperature_head': 0.1, 'batch_size': 382, 'latent_dim': 266}"
3406,8891ba97,0.8392857142857142,"{'min_delta': 0.218, 'temperature_head': 0.2, 'batch_size': 461, 'latent_dim': 340}"
3424,d071128d,0.8428571428571429,"{'min_delta': 0.048, 'temperature_head': 0.30000000000000004, 'batch_size': 399, 'latent_dim': 260}"
3456,afa5284c,0.8380952380952381,"{'min_delta': 0.114, 'temperature_head': 0.30000000000000004, 'batch_size': 310, 'latent_dim': 202}"
3501,8a5eca13,0.8271428571428571,"{'min_delta': 0.372, 'temperature_head': 0.30000000000000004, 'batch_size': 175, 'latent_dim': 132}"
3762,22b27d5a,0.8142857142857143,"{'min_delta': 0.133, 'temperature_head': 0.6000000000000001, 'batch_size': 314, 'latent_dim': 33}"
3942,56a1c7f2,0.8380952380952381,"{'min_delta': 0.683, 'temperature_head': 0.30000000000000004, 'batch_size': 230, 'latent_dim': 137}"
3992,3da60db4,0.5535714285714286,"{'min_delta': 0.359, 'temperature_head': 0.6000000000000001, 'batch_size': 508, 'latent_dim': 3}"
4009,41069592,0.8071428571428572,"{'min_delta': 0.875, 'temperature_head': 0.2, 'batch_size': 469, 'latent_dim': 224}"
4055,76c2db9d,0.7904761904761904,"{'min_delta': 0.514, 'temperature_head': 0.1, 'batch_size': 243, 'latent_dim': 283}"
4089,3d5d64eb,0.843095238095238,"{'min_delta': 0.02, 'temperature_head': 0.4, 'batch_size': 382, 'latent_dim': 359}"
4486,66ae95f1,0.7714285714285715,"{'min_delta': 0.489, 'temperature_head': 0.1, 'batch_size': 469, 'latent_dim': 94}"
4533,5a8fc32c,0.8454761904761904,"{'min_delta': 0.802, 'temperature_head': 0.4, 'batch_size': 188, 'latent_dim': 198}"
4552,07eb68cf,0.8035714285714286,"{'min_delta': 0.676, 'temperature_head': 0.30000000000000004, 'batch_size': 491, 'latent_dim': 48}"
4664,6c2a9dc9,0.8166666666666667,"{'min_delta': 0.328, 'temperature_head': 0.2, 'batch_size': 165, 'latent_dim': 243}"
4823,8864d052,0.8261904761904761,"{'min_delta': 0.007, 'temperature_head': 0.2, 'batch_size': 296, 'latent_dim': 110}"
5087,69780997,0.7928571428571428,"{'min_delta': 0.453, 'temperature_head': 0.7000000000000001, 'batch_size': 418, 'latent_dim': 190}"
5093,0219ea10,0.8080952380952381,"{'min_delta': 0.8320000000000001, 'temperature_head': 0.6000000000000001, 'batch_size': 333, 'latent_dim': 87}"
5137,5fd2e542,0.8347619047619048,"{'min_delta': 0.301, 'temperature_head': 0.4, 'batch_size': 368, 'latent_dim': 279}"
5227,4f2eea54,0.8071428571428572,"{'min_delta': 0.137, 'temperature_head': 0.1, 'batch_size': 260, 'latent_dim': 338}"
5489,6fb9cf53,0.8202380952380952,"{'min_delta': 0.278, 'temperature_head': 0.4, 'batch_size': 131, 'latent_dim': 56}"
5503,799e0514,0.8285714285714286,"{'min_delta': 0.626, 'temperature_head': 0.30000000000000004, 'batch_size': 160, 'latent_dim': 238}"
5595,2eb51f35,0.7657142857142857,"{'min_delta': 0.56, 'temperature_head': 1.0, 'batch_size': 366, 'latent_dim': 134}"
5888,ba2ae59a,0.8359523809523809,"{'min_delta': 0.166, 'temperature_head': 0.2, 'batch_size': 453, 'latent_dim': 287}"
5927,31a0d2bf,0.8261904761904761,"{'min_delta': 0.744, 'temperature_head': 0.30000000000000004, 'batch_size': 267, 'latent_dim': 18}"
