iteration,trial_id,score,config
341,60d797c2,0.7595238095238095,"{'min_delta': 0.6920000000000001, 'temperature_head': 0.6000000000000001, 'batch_size': 469, 'latent_dim': 11}"
558,dad6c4d0,0.7642857142857142,"{'min_delta': 0.602, 'temperature_head': 0.8, 'batch_size': 437, 'latent_dim': 32}"
579,9ac1bebb,0.8252380952380951,"{'min_delta': 0.508, 'temperature_head': 0.6000000000000001, 'batch_size': 497, 'latent_dim': 30}"
910,d6771684,0.8111904761904762,"{'min_delta': 0.10400000000000001, 'temperature_head': 0.1, 'batch_size': 406, 'latent_dim': 24}"
923,bb8d0259,0.8033333333333333,"{'min_delta': 0.762, 'temperature_head': 0.6000000000000001, 'batch_size': 487, 'latent_dim': 57}"
933,1c3bdec1,0.8333333333333334,"{'min_delta': 0.762, 'temperature_head': 0.4, 'batch_size': 222, 'latent_dim': 70}"
1204,638e84fe,0.8016666666666667,"{'min_delta': 0.539, 'temperature_head': 0.6000000000000001, 'batch_size': 457, 'latent_dim': 37}"
1229,3d443b2b,0.8023809523809524,"{'min_delta': 0.494, 'temperature_head': 0.9, 'batch_size': 251, 'latent_dim': 35}"
1237,0f9c3470,0.8107142857142857,"{'min_delta': 0.883, 'temperature_head': 0.6000000000000001, 'batch_size': 157, 'latent_dim': 30}"
1266,826868b6,0.7928571428571428,"{'min_delta': 0.899, 'temperature_head': 0.30000000000000004, 'batch_size': 282, 'latent_dim': 74}"
1500,9867d440,0.7559523809523809,"{'min_delta': 0.21, 'temperature_head': 0.6000000000000001, 'batch_size': 434, 'latent_dim': 37}"
1553,84809709,0.7697619047619046,"{'min_delta': 0.299, 'temperature_head': 0.8, 'batch_size': 307, 'latent_dim': 17}"
1624,ccc35e44,0.8283333333333334,"{'min_delta': 0.518, 'temperature_head': 0.30000000000000004, 'batch_size': 440, 'latent_dim': 59}"
1659,952ffe11,0.8261904761904761,"{'min_delta': 0.213, 'temperature_head': 0.4, 'batch_size': 143, 'latent_dim': 71}"
1681,da6a6c3d,0.8071428571428572,"{'min_delta': 0.881, 'temperature_head': 0.9, 'batch_size': 160, 'latent_dim': 82}"
1685,f040d870,0.44285714285714284,"{'min_delta': 0.267, 'temperature_head': 0.5, 'batch_size': 398, 'latent_dim': 3}"
1974,2971fd10,0.8507142857142858,"{'min_delta': 0.765, 'temperature_head': 0.5, 'batch_size': 448, 'latent_dim': 57}"
1977,67fff155,0.7871428571428571,"{'min_delta': 0.628, 'temperature_head': 0.9, 'batch_size': 476, 'latent_dim': 50}"
2084,cb898dd2,0.8445238095238095,"{'min_delta': 0.47500000000000003, 'temperature_head': 0.2, 'batch_size': 342, 'latent_dim': 66}"
2126,85c61a37,0.8035714285714286,"{'min_delta': 0.708, 'temperature_head': 0.30000000000000004, 'batch_size': 463, 'latent_dim': 85}"
2144,0dffa985,0.8688095238095238,"{'min_delta': 0.369, 'temperature_head': 0.2, 'batch_size': 244, 'latent_dim': 59}"
2341,89ba598a,0.8238095238095238,"{'min_delta': 0.371, 'temperature_head': 0.4, 'batch_size': 188, 'latent_dim': 47}"
2378,d1c511f9,0.8347619047619046,"{'min_delta': 0.772, 'temperature_head': 0.5, 'batch_size': 366, 'latent_dim': 89}"
2521,e5e0e615,0.8290476190476189,"{'min_delta': 0.809, 'temperature_head': 0.4, 'batch_size': 207, 'latent_dim': 74}"
2586,dacbd727,0.8266666666666665,"{'min_delta': 0.402, 'temperature_head': 0.2, 'batch_size': 351, 'latent_dim': 53}"
2617,ea59ed62,0.8404761904761905,"{'min_delta': 0.068, 'temperature_head': 0.1, 'batch_size': 349, 'latent_dim': 66}"
2644,f4d59b2c,0.8095238095238095,"{'min_delta': 0.381, 'temperature_head': 0.7000000000000001, 'batch_size': 261, 'latent_dim': 41}"
2787,43876ba7,0.8652380952380951,"{'min_delta': 0.159, 'temperature_head': 0.2, 'batch_size': 305, 'latent_dim': 61}"
2842,c7ad4f0d,0.8192857142857143,"{'min_delta': 0.605, 'temperature_head': 0.7000000000000001, 'batch_size': 238, 'latent_dim': 43}"
2891,89881f0f,0.8035714285714286,"{'min_delta': 0.686, 'temperature_head': 0.5, 'batch_size': 393, 'latent_dim': 55}"
2926,9ddacc72,0.7976190476190477,"{'min_delta': 0.322, 'temperature_head': 1.0, 'batch_size': 283, 'latent_dim': 79}"
2981,e77c1148,0.8428571428571429,"{'min_delta': 0.429, 'temperature_head': 0.7000000000000001, 'batch_size': 187, 'latent_dim': 62}"
3209,65c7821e,0.8480952380952381,"{'min_delta': 0.5760000000000001, 'temperature_head': 0.2, 'batch_size': 505, 'latent_dim': 50}"
3248,c7bfbcf3,0.8142857142857143,"{'min_delta': 0.17, 'temperature_head': 0.1, 'batch_size': 315, 'latent_dim': 24}"
3310,9b7a01ff,0.8366666666666667,"{'min_delta': 0.023, 'temperature_head': 0.2, 'batch_size': 286, 'latent_dim': 64}"
3407,0e1d1bdb,0.834047619047619,"{'min_delta': 0.007, 'temperature_head': 0.30000000000000004, 'batch_size': 260, 'latent_dim': 69}"
3424,f6ead0ec,0.8366666666666666,"{'min_delta': 0.14100000000000001, 'temperature_head': 0.1, 'batch_size': 217, 'latent_dim': 79}"
3610,04856fed,0.8333333333333334,"{'min_delta': 0.05, 'temperature_head': 0.30000000000000004, 'batch_size': 237, 'latent_dim': 24}"
3613,db90a228,0.8140476190476191,"{'min_delta': 0.334, 'temperature_head': 0.2, 'batch_size': 374, 'latent_dim': 45}"
3708,9a2fe7cc,0.8730952380952381,"{'min_delta': 0.246, 'temperature_head': 0.1, 'batch_size': 332, 'latent_dim': 60}"
3817,8cf4a036,0.8357142857142857,"{'min_delta': 0.106, 'temperature_head': 0.30000000000000004, 'batch_size': 298, 'latent_dim': 77}"
3900,d2fc8583,0.7785714285714286,"{'min_delta': 0.446, 'temperature_head': 0.1, 'batch_size': 326, 'latent_dim': 3}"
3928,a7f71ce0,0.8547619047619047,"{'min_delta': 0.134, 'temperature_head': 0.2, 'batch_size': 422, 'latent_dim': 33}"
3955,e8900807,0.8630952380952381,"{'min_delta': 0.253, 'temperature_head': 0.30000000000000004, 'batch_size': 133, 'latent_dim': 10}"
3974,da4484dd,0.8359523809523809,"{'min_delta': 0.197, 'temperature_head': 0.4, 'batch_size': 191, 'latent_dim': 86}"
4260,ca884ab5,0.8380952380952381,"{'min_delta': 0.26, 'temperature_head': 0.1, 'batch_size': 329, 'latent_dim': 29}"
4310,86abd0c9,0.8233333333333333,"{'min_delta': 0.339, 'temperature_head': 0.4, 'batch_size': 382, 'latent_dim': 70}"
4330,f1030ebd,0.8550000000000001,"{'min_delta': 0.5650000000000001, 'temperature_head': 0.1, 'batch_size': 267, 'latent_dim': 39}"
4379,90aa4308,0.8130952380952381,"{'min_delta': 0.53, 'temperature_head': 0.8, 'batch_size': 171, 'latent_dim': 50}"
4464,0efa7528,0.8419047619047619,"{'min_delta': 0.47600000000000003, 'temperature_head': 0.1, 'batch_size': 240, 'latent_dim': 58}"
4644,9c50818b,0.8278571428571428,"{'min_delta': 0.41000000000000003, 'temperature_head': 0.30000000000000004, 'batch_size': 223, 'latent_dim': 18}"
4706,32dfdfb3,0.8023809523809524,"{'min_delta': 0.28700000000000003, 'temperature_head': 0.5, 'batch_size': 418, 'latent_dim': 75}"
4747,8e897879,0.8397619047619047,"{'min_delta': 0.224, 'temperature_head': 1.0, 'batch_size': 275, 'latent_dim': 90}"
4835,7dc7957e,0.8347619047619048,"{'min_delta': 0.651, 'temperature_head': 0.4, 'batch_size': 361, 'latent_dim': 82}"
4873,b11077e7,0.8497619047619047,"{'min_delta': 0.371, 'temperature_head': 0.2, 'batch_size': 338, 'latent_dim': 52}"
4972,ba3b1fe7,0.8195238095238094,"{'min_delta': 0.078, 'temperature_head': 0.6000000000000001, 'batch_size': 291, 'latent_dim': 47}"
5139,e768440c,0.7619047619047619,"{'min_delta': 0.10400000000000001, 'temperature_head': 0.4, 'batch_size': 316, 'latent_dim': 28}"
5173,a2d0b66c,0.8214285714285714,"{'min_delta': 0.23500000000000001, 'temperature_head': 0.30000000000000004, 'batch_size': 152, 'latent_dim': 61}"
5193,03e9f041,0.8073809523809524,"{'min_delta': 0.306, 'temperature_head': 0.1, 'batch_size': 483, 'latent_dim': 67}"
5209,5d7bbae6,0.8223809523809523,"{'min_delta': 0.493, 'temperature_head': 0.5, 'batch_size': 207, 'latent_dim': 74}"
5352,c795acc3,0.8695238095238095,"{'min_delta': 0.197, 'temperature_head': 0.2, 'batch_size': 247, 'latent_dim': 55}"
5402,c995f1bb,0.7930952380952381,"{'min_delta': 0.447, 'temperature_head': 0.7000000000000001, 'batch_size': 397, 'latent_dim': 34}"
5524,fb222591,0.8157142857142856,"{'min_delta': 0.562, 'temperature_head': 0.9, 'batch_size': 356, 'latent_dim': 38}"
5536,4994f8ba,0.830952380952381,"{'min_delta': 0.358, 'temperature_head': 0.6000000000000001, 'batch_size': 174, 'latent_dim': 72}"
5628,600b1f29,0.8230952380952381,"{'min_delta': 0.8200000000000001, 'temperature_head': 0.1, 'batch_size': 225, 'latent_dim': 42}"
5791,95433632,0.8480952380952381,"{'min_delta': 0.28200000000000003, 'temperature_head': 0.2, 'batch_size': 312, 'latent_dim': 61}"
5840,e2a4ad92,0.8700000000000001,"{'min_delta': 0.188, 'temperature_head': 0.2, 'batch_size': 248, 'latent_dim': 55}"
5953,1bd5d464,0.8402380952380952,"{'min_delta': 0.23600000000000002, 'temperature_head': 0.30000000000000004, 'batch_size': 274, 'latent_dim': 64}"
5975,aed9d5fc,0.8338095238095239,"{'min_delta': 0.41100000000000003, 'temperature_head': 0.2, 'batch_size': 200, 'latent_dim': 56}"
6042,95f30738,0.8171428571428571,"{'min_delta': 0.311, 'temperature_head': 0.1, 'batch_size': 255, 'latent_dim': 52}"
6227,e84251c0,0.8400000000000001,"{'min_delta': 0.17, 'temperature_head': 0.2, 'batch_size': 337, 'latent_dim': 46}"
6256,7b7153cf,0.8154761904761905,"{'min_delta': 0.029, 'temperature_head': 0.4, 'batch_size': 298, 'latent_dim': 59}"
6354,e843dccb,0.8278571428571428,"{'min_delta': 0.11900000000000001, 'temperature_head': 0.2, 'batch_size': 382, 'latent_dim': 48}"
6403,d26a06b4,0.8316666666666667,"{'min_delta': 0.2, 'temperature_head': 0.1, 'batch_size': 250, 'latent_dim': 54}"
6474,2cd21c60,0.780952380952381,"{'min_delta': 0.078, 'temperature_head': 0.30000000000000004, 'batch_size': 231, 'latent_dim': 68}"
6681,77d9c713,0.8533333333333333,"{'min_delta': 0.149, 'temperature_head': 0.2, 'batch_size': 211, 'latent_dim': 44}"
6725,2ba0100c,0.875,"{'min_delta': 0.181, 'temperature_head': 0.1, 'batch_size': 271, 'latent_dim': 64}"
6755,4664a1a8,0.8095238095238095,"{'min_delta': 0.003, 'temperature_head': 0.5, 'batch_size': 175, 'latent_dim': 40}"
6799,57b4fbff,0.834047619047619,"{'min_delta': 0.05, 'temperature_head': 0.30000000000000004, 'batch_size': 130, 'latent_dim': 36}"
6836,c0884170,0.7854761904761904,"{'min_delta': 0.189, 'temperature_head': 0.2, 'batch_size': 329, 'latent_dim': 31}"
7002,3dd65e2b,0.8416666666666666,"{'min_delta': 0.271, 'temperature_head': 0.4, 'batch_size': 249, 'latent_dim': 56}"
7176,4c97fc21,0.8411904761904762,"{'min_delta': 0.17400000000000002, 'temperature_head': 0.1, 'batch_size': 267, 'latent_dim': 63}"
7224,1d2ca0c8,0.7830952380952381,"{'min_delta': 0.127, 'temperature_head': 0.8, 'batch_size': 411, 'latent_dim': 85}"
7226,bd313306,0.8609523809523809,"{'min_delta': 0.248, 'temperature_head': 0.1, 'batch_size': 195, 'latent_dim': 49}"
7263,41115a57,0.8254761904761905,"{'min_delta': 0.34900000000000003, 'temperature_head': 0.1, 'batch_size': 296, 'latent_dim': 72}"
7427,f8a0dc0e,0.8142857142857143,"{'min_delta': 0.386, 'temperature_head': 0.1, 'batch_size': 371, 'latent_dim': 77}"
7663,44db5168,0.8238095238095238,"{'min_delta': 0.048, 'temperature_head': 0.2, 'batch_size': 284, 'latent_dim': 65}"
7676,6feaf913,0.8307142857142857,"{'min_delta': 0.323, 'temperature_head': 0.1, 'batch_size': 307, 'latent_dim': 81}"
7687,8e6ccc5a,0.8361904761904763,"{'min_delta': 0.094, 'temperature_head': 0.30000000000000004, 'batch_size': 347, 'latent_dim': 67}"
7728,9d6ade8a,0.8104761904761905,"{'min_delta': 0.218, 'temperature_head': 0.30000000000000004, 'batch_size': 432, 'latent_dim': 88}"
7793,9648af40,0.8104761904761905,"{'min_delta': 0.158, 'temperature_head': 0.9, 'batch_size': 457, 'latent_dim': 76}"
8001,10877eef,0.8369047619047618,"{'min_delta': 0.468, 'temperature_head': 1.0, 'batch_size': 162, 'latent_dim': 20}"
8025,02a085d6,0.7880952380952381,"{'min_delta': 0.18, 'temperature_head': 0.6000000000000001, 'batch_size': 273, 'latent_dim': 11}"
8045,69650bb1,0.8123809523809523,"{'min_delta': 0.032, 'temperature_head': 0.7000000000000001, 'batch_size': 182, 'latent_dim': 71}"
8171,14197adf,0.8504761904761905,"{'min_delta': 0.433, 'temperature_head': 0.2, 'batch_size': 325, 'latent_dim': 51}"
8256,37df5685,0.8192857142857143,"{'min_delta': 0.289, 'temperature_head': 0.1, 'batch_size': 146, 'latent_dim': 60}"
8352,234f8b3d,0.8338095238095239,"{'min_delta': 0.093, 'temperature_head': 0.4, 'batch_size': 388, 'latent_dim': 58}"
8442,8c250096,0.8109523809523809,"{'min_delta': 0.516, 'temperature_head': 0.1, 'batch_size': 363, 'latent_dim': 53}"
8510,c497c503,0.8378571428571429,"{'min_delta': 0.387, 'temperature_head': 0.30000000000000004, 'batch_size': 232, 'latent_dim': 80}"
8555,18335a08,0.8219047619047618,"{'min_delta': 0.216, 'temperature_head': 0.5, 'batch_size': 261, 'latent_dim': 27}"
8575,881508de,0.8545238095238095,"{'min_delta': 0.067, 'temperature_head': 0.2, 'batch_size': 216, 'latent_dim': 63}"
8728,2effad4a,0.851190476190476,"{'min_delta': 0.23900000000000002, 'temperature_head': 0.1, 'batch_size': 201, 'latent_dim': 42}"
