iteration,trial_id,score,config
1531,cfca7629,0.7847896440129449,"{'temperature_head': 0.7000000000000001, 'latent_dim': 123, 'batch_size': 227, 'transform_funcs': (0, 2, 8)}"
1611,b07313bc,0.8446601941747572,"{'temperature_head': 0.5, 'latent_dim': 76, 'batch_size': 379, 'transform_funcs': (0, 7, 10)}"
1656,7eee7e93,0.8354908306364617,"{'temperature_head': 0.9, 'latent_dim': 104, 'batch_size': 332, 'transform_funcs': (1, 10, 11)}"
1888,b391cc3b,0.8094929881337649,"{'temperature_head': 0.6000000000000001, 'latent_dim': 197, 'batch_size': 137, 'transform_funcs': (8, 9, 10)}"
2115,d1bb0263,0.8451995685005393,"{'temperature_head': 0.5, 'latent_dim': 231, 'batch_size': 420, 'transform_funcs': (1, 4, 9)}"
2399,e7438586,-0.1,"{'temperature_head': 0.2, 'latent_dim': 167, 'batch_size': 490, 'transform_funcs': (4, 9, 10)}"
2725,f1ae2b8d,-0.1,"{'temperature_head': 0.2, 'latent_dim': 35, 'batch_size': 391, 'transform_funcs': (2, 3, 8)}"
2974,b230d7a6,-0.1,"{'temperature_head': 1.0, 'latent_dim': 196, 'batch_size': 229, 'transform_funcs': (0, 2, 10)}"
3054,fb8f2393,0.8716289104638619,"{'temperature_head': 0.4, 'latent_dim': 106, 'batch_size': 219, 'transform_funcs': (0, 5, 9)}"
3115,238d6d2f,0.8545307443365695,"{'temperature_head': 0.30000000000000004, 'latent_dim': 180, 'batch_size': 418, 'transform_funcs': (3, 6, 9)}"
3197,bb17435d,0.8036677454153183,"{'temperature_head': 1.0, 'latent_dim': 123, 'batch_size': 211, 'transform_funcs': (1, 5, 8)}"
3310,aeb24423,0.7931499460625674,"{'temperature_head': 0.30000000000000004, 'latent_dim': 195, 'batch_size': 366, 'transform_funcs': (6, 7, 8)}"
3907,f186583e,0.8401833872707659,"{'temperature_head': 0.8, 'latent_dim': 155, 'batch_size': 494, 'transform_funcs': (3, 6, 9)}"
3925,ca18a522,0.8122977346278317,"{'temperature_head': 0.8, 'latent_dim': 56, 'batch_size': 457, 'transform_funcs': (1, 3, 8)}"
4096,30037192,0.8029665587918016,"{'temperature_head': 0.9, 'latent_dim': 81, 'batch_size': 322, 'transform_funcs': (1, 6, 11)}"
4289,2aa81f9f,0.8300970873786407,"{'temperature_head': 0.4, 'latent_dim': 162, 'batch_size': 476, 'transform_funcs': (2, 6, 10)}"
4628,570c9db7,0.8096008629989212,"{'temperature_head': 0.5, 'latent_dim': 160, 'batch_size': 224, 'transform_funcs': (0, 5, 6)}"
4747,36211086,0.767529665587918,"{'temperature_head': 0.7000000000000001, 'latent_dim': 91, 'batch_size': 480, 'transform_funcs': (2, 3, 8)}"
5076,443d803f,-0.1,"{'temperature_head': 0.1, 'latent_dim': 155, 'batch_size': 300, 'transform_funcs': (0, 6, 9)}"
5254,9e2197a6,0.8096008629989212,"{'temperature_head': 0.1, 'latent_dim': 3, 'batch_size': 176, 'transform_funcs': (2, 6, 7)}"
5271,424f9537,0.8381877022653722,"{'temperature_head': 0.4, 'latent_dim': 35, 'batch_size': 276, 'transform_funcs': (2, 3, 5)}"
5445,6ea108e0,0.8247033441208198,"{'temperature_head': 0.9, 'latent_dim': 245, 'batch_size': 326, 'transform_funcs': (0, 6, 7)}"
5524,1f1cabba,-0.1,"{'temperature_head': 0.30000000000000004, 'latent_dim': 221, 'batch_size': 432, 'transform_funcs': (5, 10, 11)}"
5873,ca38c295,-0.1,"{'temperature_head': 0.4, 'latent_dim': 264, 'batch_size': 266, 'transform_funcs': (0, 1, 8)}"
6143,bfd4c5f8,0.8441208198489751,"{'temperature_head': 0.30000000000000004, 'latent_dim': 270, 'batch_size': 131, 'transform_funcs': (0, 5, 9)}"
6512,1f875035,0.7981661272923409,"{'temperature_head': 0.4, 'latent_dim': 119, 'batch_size': 276, 'transform_funcs': (3, 5, 7)}"
6682,fe146914,0.7983818770226537,"{'temperature_head': 0.6000000000000001, 'latent_dim': 186, 'batch_size': 175, 'transform_funcs': (0, 3, 10)}"
6760,12e767f4,0.8274002157497303,"{'temperature_head': 0.2, 'latent_dim': 136, 'batch_size': 357, 'transform_funcs': (5, 7, 11)}"
7262,3f9d9054,0.8460625674217906,"{'temperature_head': 0.30000000000000004, 'latent_dim': 179, 'batch_size': 164, 'transform_funcs': (0, 1, 2)}"
7484,3bd7996e,-0.1,"{'temperature_head': 0.7000000000000001, 'latent_dim': 239, 'batch_size': 402, 'transform_funcs': (6, 9, 11)}"
7631,029af7f5,0.8331175836030205,"{'temperature_head': 0.6000000000000001, 'latent_dim': 215, 'batch_size': 428, 'transform_funcs': (7, 9, 11)}"
7921,80890c6b,0.8554476806903991,"{'temperature_head': 0.2, 'latent_dim': 140, 'batch_size': 253, 'transform_funcs': (4, 7, 8)}"
7933,301d1807,0.8009708737864077,"{'temperature_head': 0.5, 'latent_dim': 108, 'batch_size': 151, 'transform_funcs': (0, 5, 9)}"
8036,df2192df,0.8052858683926645,"{'temperature_head': 0.4, 'latent_dim': 5, 'batch_size': 302, 'transform_funcs': (0, 1, 4)}"
8485,fb4fe327,0.8203883495145631,"{'temperature_head': 0.1, 'latent_dim': 52, 'batch_size': 194, 'transform_funcs': (0, 8, 9)}"
8791,373699d4,0.831175836030205,"{'temperature_head': 0.30000000000000004, 'latent_dim': 96, 'batch_size': 455, 'transform_funcs': (0, 4, 7)}"
8983,229a3158,0.8308522114347356,"{'temperature_head': 0.5, 'latent_dim': 70, 'batch_size': 345, 'transform_funcs': (0, 6, 10)}"
9315,d3213924,0.7869471413160734,"{'temperature_head': 0.2, 'latent_dim': 120, 'batch_size': 245, 'transform_funcs': (0, 4, 6)}"
9363,fdce2fdc,0.8543689320388349,"{'temperature_head': 0.2, 'latent_dim': 142, 'batch_size': 249, 'transform_funcs': (0, 3, 7)}"
9798,c8af7deb,0.8403451995685005,"{'temperature_head': 0.6000000000000001, 'latent_dim': 143, 'batch_size': 205, 'transform_funcs': (1, 2, 8)}"
10192,cbd85efb,0.8419633225458468,"{'temperature_head': 0.1, 'latent_dim': 108, 'batch_size': 305, 'transform_funcs': (4, 7, 8)}"
10264,574cb625,0.8576051779935275,"{'temperature_head': 0.2, 'latent_dim': 17, 'batch_size': 128, 'transform_funcs': (2, 5, 8)}"
10391,697b218a,0.8263214670981661,"{'temperature_head': 0.5, 'latent_dim': 59, 'batch_size': 190, 'transform_funcs': (2, 4, 8)}"
10695,fd1603bf,0.8473570658036678,"{'temperature_head': 0.30000000000000004, 'latent_dim': 37, 'batch_size': 260, 'transform_funcs': (1, 8, 9)}"
10811,2cbc9039,0.8137001078748651,"{'temperature_head': 0.4, 'latent_dim': 209, 'batch_size': 236, 'transform_funcs': (0, 3, 4)}"
11448,442e3d82,0.8299352750809061,"{'temperature_head': 0.1, 'latent_dim': 13, 'batch_size': 149, 'transform_funcs': (3, 5, 11)}"
11649,c3ce0e4c,0.7632146709816613,"{'temperature_head': 0.4, 'latent_dim': 13, 'batch_size': 130, 'transform_funcs': (0, 4, 8)}"
11706,f330b332,0.8516720604099245,"{'temperature_head': 0.30000000000000004, 'latent_dim': 170, 'batch_size': 282, 'transform_funcs': (2, 9, 10)}"
11789,6dbc8f69,0.8088457389428264,"{'temperature_head': 0.8, 'latent_dim': 41, 'batch_size': 154, 'transform_funcs': (1, 8, 10)}"
12010,83b3e5c6,0.8209277238403452,"{'temperature_head': 0.6000000000000001, 'latent_dim': 18, 'batch_size': 206, 'transform_funcs': (0, 2, 7)}"
12198,358784b6,0.8031283710895362,"{'temperature_head': 0.2, 'latent_dim': 128, 'batch_size': 217, 'transform_funcs': (1, 9, 11)}"
12703,b30a78db,0.7563106796116504,"{'temperature_head': 0.5, 'latent_dim': 47, 'batch_size': 507, 'transform_funcs': (2, 4, 6)}"
12705,6dfaf1f3,0.8106796116504855,"{'temperature_head': 0.2, 'latent_dim': 25, 'batch_size': 187, 'transform_funcs': (2, 5, 8)}"
12779,fd82c50b,0.8015102481121898,"{'temperature_head': 0.7000000000000001, 'latent_dim': 72, 'batch_size': 128, 'transform_funcs': (5, 8, 11)}"
13174,f79596ac,0.7513484358144552,"{'temperature_head': 0.1, 'latent_dim': 85, 'batch_size': 174, 'transform_funcs': (3, 5, 10)}"
13345,e8428ea8,0.8353290183387271,"{'temperature_head': 0.30000000000000004, 'latent_dim': 64, 'batch_size': 139, 'transform_funcs': (4, 8, 9)}"
13552,aeef4db6,0.8274002157497303,"{'temperature_head': 0.4, 'latent_dim': 29, 'batch_size': 163, 'transform_funcs': (1, 4, 8)}"
13869,2d753c55,0.8212513484358144,"{'temperature_head': 0.5, 'latent_dim': 97, 'batch_size': 232, 'transform_funcs': (6, 8, 11)}"
14095,79162309,0.8220064724919094,"{'temperature_head': 0.6000000000000001, 'latent_dim': 80, 'batch_size': 289, 'transform_funcs': (1, 5, 6)}"
14358,efb72a55,0.8093851132686083,"{'temperature_head': 0.1, 'latent_dim': 254, 'batch_size': 364, 'transform_funcs': (6, 7, 9)}"
14890,0f3f127e,0.825782092772384,"{'temperature_head': 0.2, 'latent_dim': 152, 'batch_size': 319, 'transform_funcs': (1, 7, 10)}"
14945,0d0725de,0.8240560949298814,"{'temperature_head': 0.8, 'latent_dim': 206, 'batch_size': 140, 'transform_funcs': (0, 1, 3)}"
14998,74c5c9ca,-0.1,"{'temperature_head': 0.30000000000000004, 'latent_dim': 186, 'batch_size': 338, 'transform_funcs': (9, 10, 11)}"
15026,fbfdb648,0.8291262135922329,"{'temperature_head': 1.0, 'latent_dim': 129, 'batch_size': 193, 'transform_funcs': (3, 10, 11)}"
15189,edde23b4,0.825782092772384,"{'temperature_head': 0.4, 'latent_dim': 115, 'batch_size': 385, 'transform_funcs': (0, 3, 6)}"
15965,254ab199,-0.1,"{'temperature_head': 0.1, 'latent_dim': 101, 'batch_size': 312, 'transform_funcs': (3, 9, 11)}"
16349,20ecd94f,0.8279395900755124,"{'temperature_head': 0.2, 'latent_dim': 144, 'batch_size': 223, 'transform_funcs': (2, 3, 4)}"
16383,56adda80,0.7826321467098166,"{'temperature_head': 0.30000000000000004, 'latent_dim': 194, 'batch_size': 207, 'transform_funcs': (4, 6, 10)}"
16439,dc781ee8,0.8203883495145631,"{'temperature_head': 0.2, 'latent_dim': 170, 'batch_size': 261, 'transform_funcs': (3, 8, 10)}"
16581,d4432059,0.8075512405609493,"{'temperature_head': 0.2, 'latent_dim': 163, 'batch_size': 248, 'transform_funcs': (1, 6, 8)}"
17011,b81eb211,-0.1,"{'temperature_head': 0.5, 'latent_dim': 128, 'batch_size': 179, 'transform_funcs': (4, 5, 6)}"
17200,865e40fb,0.8015102481121898,"{'temperature_head': 0.1, 'latent_dim': 90, 'batch_size': 289, 'transform_funcs': (2, 5, 8)}"
17588,30a72b83,-0.1,"{'temperature_head': 0.1, 'latent_dim': 181, 'batch_size': 165, 'transform_funcs': (4, 7, 8)}"
17906,bd5acaee,0.8365695792880259,"{'temperature_head': 0.4, 'latent_dim': 113, 'batch_size': 254, 'transform_funcs': (1, 5, 11)}"
17916,bf78c10d,0.8175836030204963,"{'temperature_head': 0.30000000000000004, 'latent_dim': 140, 'batch_size': 270, 'transform_funcs': (6, 10, 11)}"
18158,15f83aff,0.8829557713052859,"{'temperature_head': 0.30000000000000004, 'latent_dim': 224, 'batch_size': 242, 'transform_funcs': (6, 8, 9)}"
