iteration,trial_id,score,config
198,3c4a0539,0.8147058823529412,"{'temperature_head': 0.4, 'latent_dim': 34, 'batch_size': 295, 'transform_funcs': (1, 3, 8, 11)}"
318,c6e9ed3b,0.8235294117647058,"{'temperature_head': 0.6000000000000001, 'latent_dim': 26, 'batch_size': 175, 'transform_funcs': (0, 1, 2, 10)}"
376,966cd7e0,0.8176470588235294,"{'temperature_head': 0.5, 'latent_dim': 344, 'batch_size': 471, 'transform_funcs': (2, 3, 8, 11)}"
463,3f4806e2,0.7870588235294117,"{'temperature_head': 0.7000000000000001, 'latent_dim': 144, 'batch_size': 460, 'transform_funcs': (0, 1, 2, 5)}"
511,3cca4f26,0.8020588235294118,"{'temperature_head': 1.0, 'latent_dim': 202, 'batch_size': 194, 'transform_funcs': (1, 2, 4, 6)}"
600,6779386f,0.8385294117647059,"{'temperature_head': 1.0, 'latent_dim': 352, 'batch_size': 156, 'transform_funcs': (2, 5, 6, 8)}"
709,c83c0c7c,0.8411764705882353,"{'temperature_head': 0.8, 'latent_dim': 240, 'batch_size': 149, 'transform_funcs': (0, 8, 9, 11)}"
741,ed4afbca,0.8264705882352941,"{'temperature_head': 0.5, 'latent_dim': 39, 'batch_size': 368, 'transform_funcs': (0, 1, 2, 11)}"
821,7958ffb4,0.8441176470588235,"{'temperature_head': 1.0, 'latent_dim': 640, 'batch_size': 358, 'transform_funcs': (5, 6, 7, 8)}"
827,690d6471,0.8323529411764706,"{'temperature_head': 0.9, 'latent_dim': 240, 'batch_size': 171, 'transform_funcs': (0, 5, 6, 9)}"
910,ae61674f,0.8117647058823529,"{'temperature_head': 0.4, 'latent_dim': 218, 'batch_size': 475, 'transform_funcs': (0, 1, 5, 8)}"
993,b15cab9f,0.8061764705882354,"{'temperature_head': 0.7000000000000001, 'latent_dim': 275, 'batch_size': 506, 'transform_funcs': (0, 2, 5, 9)}"
1016,5b95dcab,0.8235294117647058,"{'temperature_head': 0.5, 'latent_dim': 87, 'batch_size': 374, 'transform_funcs': (3, 7, 8, 10)}"
1118,8c5edf1e,0.8147058823529412,"{'temperature_head': 0.5, 'latent_dim': 413, 'batch_size': 133, 'transform_funcs': (4, 8, 9, 11)}"
1170,7ceec7ff,0.8188235294117646,"{'temperature_head': 0.7000000000000001, 'latent_dim': 126, 'batch_size': 393, 'transform_funcs': (4, 6, 10, 11)}"
1175,d866e2c7,0.8411764705882353,"{'temperature_head': 0.8, 'latent_dim': 402, 'batch_size': 142, 'transform_funcs': (2, 3, 4, 10)}"
1231,fb1684ea,0.7852941176470588,"{'temperature_head': 0.6000000000000001, 'latent_dim': 14, 'batch_size': 463, 'transform_funcs': (4, 5, 9, 11)}"
1332,335fc10c,0.8132352941176471,"{'temperature_head': 0.8, 'latent_dim': 77, 'batch_size': 273, 'transform_funcs': (1, 2, 3, 7)}"
1355,647e9ee3,0.8441176470588235,"{'temperature_head': 0.8, 'latent_dim': 699, 'batch_size': 232, 'transform_funcs': (6, 7, 10, 11)}"
1506,05f04fdf,0.8147058823529412,"{'temperature_head': 0.6000000000000001, 'latent_dim': 612, 'batch_size': 509, 'transform_funcs': (0, 7, 8, 10)}"
1584,fa290aca,0.8105882352941176,"{'temperature_head': 0.9, 'latent_dim': 510, 'batch_size': 339, 'transform_funcs': (1, 8, 9, 11)}"
1647,f0e93ab8,0.8155882352941177,"{'temperature_head': 0.9, 'latent_dim': 526, 'batch_size': 253, 'transform_funcs': (2, 3, 4, 7)}"
1746,014a6c9d,0.7970588235294118,"{'temperature_head': 0.2, 'latent_dim': 718, 'batch_size': 420, 'transform_funcs': (5, 6, 7, 8)}"
1835,b74c3625,0.8605882352941177,"{'temperature_head': 1.0, 'latent_dim': 708, 'batch_size': 239, 'transform_funcs': (0, 4, 7, 9)}"
1910,d809f31f,0.7955882352941177,"{'temperature_head': 0.9, 'latent_dim': 638, 'batch_size': 224, 'transform_funcs': (1, 3, 4, 10)}"
1991,d321fa29,0.7894117647058824,"{'temperature_head': 0.8, 'latent_dim': 638, 'batch_size': 312, 'transform_funcs': (0, 5, 8, 11)}"
2073,33cfd0d8,0.8029411764705883,"{'temperature_head': 1.0, 'latent_dim': 543, 'batch_size': 210, 'transform_funcs': (6, 7, 10, 11)}"
