iteration,trial_id,score,config
1128,ba50b967,0.8478964401294499,"{'temperature_head': 0.9, 'latent_dim': 142, 'batch_size': 183, 'transform_funcs': (2, 3)}"
1285,609bfd75,0.8128371089536138,"{'temperature_head': 0.7000000000000001, 'latent_dim': 50, 'batch_size': 352, 'transform_funcs': (3, 5)}"
1436,5c0b433a,0.848435814455232,"{'temperature_head': 0.8, 'latent_dim': 155, 'batch_size': 454, 'transform_funcs': (5, 8)}"
1692,72717c4a,0.822437971952535,"{'temperature_head': 0.5, 'latent_dim': 110, 'batch_size': 378, 'transform_funcs': (2, 11)}"
1725,4de0fada,0.8576051779935275,"{'temperature_head': 0.6000000000000001, 'latent_dim': 113, 'batch_size': 168, 'transform_funcs': (4, 11)}"
1976,1346953c,0.8559870550161812,"{'temperature_head': 0.7000000000000001, 'latent_dim': 94, 'batch_size': 400, 'transform_funcs': (4, 6)}"
2342,bf881906,-0.1,"{'temperature_head': 0.1, 'latent_dim': 133, 'batch_size': 282, 'transform_funcs': (0, 9)}"
2532,2085f4b2,0.8009708737864077,"{'temperature_head': 0.30000000000000004, 'latent_dim': 140, 'batch_size': 203, 'transform_funcs': (4, 5)}"
2592,6a6e562a,-0.1,"{'temperature_head': 0.4, 'latent_dim': 66, 'batch_size': 153, 'transform_funcs': (3, 6)}"
2632,ad5cf31f,0.8522114347357066,"{'temperature_head': 0.30000000000000004, 'latent_dim': 173, 'batch_size': 330, 'transform_funcs': (0, 10)}"
3054,2542f309,0.8063646170442287,"{'temperature_head': 1.0, 'latent_dim': 132, 'batch_size': 141, 'transform_funcs': (5, 11)}"
3074,a4e31314,0.8457389428263214,"{'temperature_head': 0.8, 'latent_dim': 179, 'batch_size': 202, 'transform_funcs': (7, 10)}"
3229,8409553a,0.8360302049622438,"{'temperature_head': 0.8, 'latent_dim': 40, 'batch_size': 322, 'transform_funcs': (6, 7)}"
3515,c20f9f6f,0.860302049622438,"{'temperature_head': 0.6000000000000001, 'latent_dim': 98, 'batch_size': 462, 'transform_funcs': (8, 9)}"
3597,9dc3383a,0.8047464940668824,"{'temperature_head': 0.6000000000000001, 'latent_dim': 94, 'batch_size': 468, 'transform_funcs': (9, 11)}"
3857,7767c009,0.826537216828479,"{'temperature_head': 0.2, 'latent_dim': 12, 'batch_size': 193, 'transform_funcs': (1, 5)}"
4254,d6df64ac,0.8071736785329019,"{'temperature_head': 0.9, 'latent_dim': 50, 'batch_size': 365, 'transform_funcs': (4, 6)}"
4452,e82361e3,0.8651564185544768,"{'temperature_head': 0.30000000000000004, 'latent_dim': 132, 'batch_size': 222, 'transform_funcs': (5, 11)}"
4482,4a28f61c,0.8451995685005393,"{'temperature_head': 0.2, 'latent_dim': 18, 'batch_size': 469, 'transform_funcs': (7, 9)}"
