iteration,trial_id,score,config
331,864fd12b,0.6323529411764706,"{'min_delta': 0.378, 'temperature': 0.5, 'latent_dim': 152, 'batch_size': 355, 'transform_funcs': (1, 6, 7, 10)}"
372,250daae3,0.5588235294117647,"{'min_delta': 0.331, 'temperature': 1.3, 'latent_dim': 25, 'batch_size': 238, 'transform_funcs': (4, 5, 6, 7)}"
433,cbd42451,0.6411764705882353,"{'min_delta': 0.612, 'temperature': 1.1, 'latent_dim': 218, 'batch_size': 338, 'transform_funcs': (3, 4, 6, 8)}"
557,a576c8b3,0.6588235294117647,"{'min_delta': 0.556, 'temperature': 1.7000000000000002, 'latent_dim': 110, 'batch_size': 280, 'transform_funcs': (1, 2, 5, 11)}"
567,c5642b95,0.6091176470588235,"{'min_delta': 0.622, 'temperature': 1.6, 'latent_dim': 60, 'batch_size': 485, 'transform_funcs': (0, 3, 5, 11)}"
599,c73d85df,0.6058823529411764,"{'min_delta': 0.877, 'temperature': 0.5, 'latent_dim': 156, 'batch_size': 391, 'transform_funcs': (1, 4, 9, 11)}"
638,e5e89d8d,0.5911764705882353,"{'min_delta': 0.88, 'temperature': 1.4000000000000001, 'latent_dim': 70, 'batch_size': 495, 'transform_funcs': (0, 8, 10, 11)}"
726,e18fd224,0.5705882352941176,"{'min_delta': 0.86, 'temperature': 0.2, 'latent_dim': 36, 'batch_size': 337, 'transform_funcs': (1, 2, 9, 11)}"
767,182b2988,0.6352941176470588,"{'min_delta': 0.629, 'temperature': 1.3, 'latent_dim': 72, 'batch_size': 454, 'transform_funcs': (4, 6, 10, 11)}"
945,0d23cbb4,0.6676470588235294,"{'min_delta': 0.627, 'temperature': 1.8, 'latent_dim': 264, 'batch_size': 276, 'transform_funcs': (1, 2, 5, 9)}"
950,dad53861,0.6823529411764706,"{'min_delta': 0.728, 'temperature': 1.3, 'latent_dim': 257, 'batch_size': 157, 'transform_funcs': (1, 3, 6, 8)}"
992,12a8d0ac,0.6529411764705882,"{'min_delta': 0.578, 'temperature': 1.4000000000000001, 'latent_dim': 151, 'batch_size': 380, 'transform_funcs': (0, 3, 9, 11)}"
1024,492ada49,0.6058823529411764,"{'min_delta': 0.356, 'temperature': 1.1, 'latent_dim': 161, 'batch_size': 429, 'transform_funcs': (4, 5, 6, 11)}"
1187,c70fc65a,0.6088235294117647,"{'min_delta': 0.051000000000000004, 'temperature': 1.3, 'latent_dim': 116, 'batch_size': 173, 'transform_funcs': (0, 5, 6, 11)}"
