iteration,trial_id,score,config
1255,a92ba156,0.6961451247165533,"{'temperature_head': 0.2, 'latent_dim': 121, 'batch_size': 169, 'transform_funcs': (6,)}"
1486,1a3edaa0,0.6928004535147392,"{'temperature_head': 1.0, 'latent_dim': 213, 'batch_size': 132, 'transform_funcs': (2,)}"
1538,bfc2d0cb,0.6751700680272109,"{'temperature_head': 0.6000000000000001, 'latent_dim': 257, 'batch_size': 184, 'transform_funcs': (11,)}"
1987,aeaea854,0.6937641723356008,"{'temperature_head': 1.0, 'latent_dim': 518, 'batch_size': 459, 'transform_funcs': (9,)}"
2056,0341f9ec,0.692063492063492,"{'temperature_head': 0.1, 'latent_dim': 604, 'batch_size': 394, 'transform_funcs': (10,)}"
2514,ef7b322a,0.6978458049886621,"{'temperature_head': 0.4, 'latent_dim': 200, 'batch_size': 273, 'transform_funcs': (6,)}"
2679,76466746,0.7108843537414966,"{'temperature_head': 0.4, 'latent_dim': 635, 'batch_size': 270, 'transform_funcs': (7,)}"
3139,d9549934,0.7027210884353741,"{'temperature_head': 1.0, 'latent_dim': 525, 'batch_size': 493, 'transform_funcs': (3,)}"
3151,d4846dcb,0.719954648526077,"{'temperature_head': 0.8, 'latent_dim': 299, 'batch_size': 482, 'transform_funcs': (6,)}"
3393,2646b590,0.7080498866213152,"{'temperature_head': 0.6000000000000001, 'latent_dim': 150, 'batch_size': 224, 'transform_funcs': (10,)}"
3451,3147a46b,-0.1,"{'temperature_head': 0.2, 'latent_dim': 575, 'batch_size': 184, 'transform_funcs': (0,)}"
3615,439590e9,0.6955782312925171,"{'temperature_head': 0.9, 'latent_dim': 627, 'batch_size': 216, 'transform_funcs': (0,)}"
4063,37183142,0.6700680272108843,"{'temperature_head': 0.4, 'latent_dim': 443, 'batch_size': 439, 'transform_funcs': (6,)}"
4071,ddcfb1ad,0.7069160997732427,"{'temperature_head': 0.6000000000000001, 'latent_dim': 22, 'batch_size': 486, 'transform_funcs': (10,)}"
4225,c551fd0b,0.7205215419501134,"{'temperature_head': 0.6000000000000001, 'latent_dim': 115, 'batch_size': 151, 'transform_funcs': (9,)}"
4485,17ff0b61,0.6967120181405896,"{'temperature_head': 0.1, 'latent_dim': 235, 'batch_size': 213, 'transform_funcs': (6,)}"
4604,21612691,0.7029478458049887,"{'temperature_head': 0.9, 'latent_dim': 492, 'batch_size': 243, 'transform_funcs': (4,)}"
4894,f0362e13,0.7080498866213152,"{'temperature_head': 0.8, 'latent_dim': 4, 'batch_size': 389, 'transform_funcs': (5,)}"
5086,0926219b,0.6869614512471657,"{'temperature_head': 0.7000000000000001, 'latent_dim': 190, 'batch_size': 158, 'transform_funcs': (2,)}"
5189,9c4c983c,0.6984126984126984,"{'temperature_head': 0.5, 'latent_dim': 236, 'batch_size': 307, 'transform_funcs': (1,)}"
5407,ef555d00,0.7114512471655329,"{'temperature_head': 0.30000000000000004, 'latent_dim': 425, 'batch_size': 276, 'transform_funcs': (1,)}"
5534,eaa6cb0b,0.6909297052154195,"{'temperature_head': 0.7000000000000001, 'latent_dim': 79, 'batch_size': 359, 'transform_funcs': (8,)}"
5694,d4e89a25,0.7273242630385488,"{'temperature_head': 0.8, 'latent_dim': 322, 'batch_size': 330, 'transform_funcs': (9,)}"
6048,a8bc7b8c,0.7630385487528345,"{'temperature_head': 0.5, 'latent_dim': 65, 'batch_size': 504, 'transform_funcs': (8,)}"
6285,91c57371,0.7081632653061225,"{'temperature_head': 0.7000000000000001, 'latent_dim': 366, 'batch_size': 129, 'transform_funcs': (9,)}"
6489,4955fbcd,0.713718820861678,"{'temperature_head': 0.8, 'latent_dim': 346, 'batch_size': 422, 'transform_funcs': (3,)}"
6600,6313d594,0.7154195011337868,"{'temperature_head': 0.7000000000000001, 'latent_dim': 139, 'batch_size': 373, 'transform_funcs': (7,)}"
6855,fa510932,0.7006802721088435,"{'temperature_head': 0.9, 'latent_dim': 302, 'batch_size': 324, 'transform_funcs': (5,)}"
6926,ff770bac,0.7562358276643991,"{'temperature_head': 0.30000000000000004, 'latent_dim': 55, 'batch_size': 507, 'transform_funcs': (8,)}"
7613,2f22a36f,0.6388888888888888,"{'temperature_head': 0.5, 'latent_dim': 79, 'batch_size': 405, 'transform_funcs': (4,)}"
7691,9843ee56,0.6955782312925171,"{'temperature_head': 0.5, 'latent_dim': 378, 'batch_size': 342, 'transform_funcs': (8,)}"
7758,db1730c9,0.7036848072562358,"{'temperature_head': 0.30000000000000004, 'latent_dim': 286, 'batch_size': 427, 'transform_funcs': (11,)}"
7803,2d9478b7,0.7233560090702947,"{'temperature_head': 0.5, 'latent_dim': 681, 'batch_size': 308, 'transform_funcs': (9,)}"
8213,8e456fe2,0.6865079365079365,"{'temperature_head': 0.2, 'latent_dim': 39, 'batch_size': 469, 'transform_funcs': (8,)}"
8361,f0b68ef1,0.713718820861678,"{'temperature_head': 0.8, 'latent_dim': 421, 'batch_size': 460, 'transform_funcs': (8,)}"
8373,7c6fb71b,0.7046485260770975,"{'temperature_head': 0.30000000000000004, 'latent_dim': 67, 'batch_size': 509, 'transform_funcs': (8,)}"
8683,5443970a,0.671201814058957,"{'temperature_head': 0.4, 'latent_dim': 4, 'batch_size': 405, 'transform_funcs': (7,)}"
8691,ba99b7c5,0.7006802721088435,"{'temperature_head': 0.4, 'latent_dim': 173, 'batch_size': 503, 'transform_funcs': (8,)}"
8696,f110321a,0.6365079365079365,"{'temperature_head': 0.1, 'latent_dim': 120, 'batch_size': 448, 'transform_funcs': (2,)}"
8857,20fc1b2c,0.6565759637188208,"{'temperature_head': 0.30000000000000004, 'latent_dim': 41, 'batch_size': 474, 'transform_funcs': (11,)}"
9110,653454fa,-0.1,"{'temperature_head': 0.30000000000000004, 'latent_dim': 716, 'batch_size': 495, 'transform_funcs': (0,)}"
9355,c4c5f1ad,-0.1,"{'temperature_head': 0.5, 'latent_dim': 492, 'batch_size': 453, 'transform_funcs': (10,)}"
9491,72f3a0b2,0.6842403628117913,"{'temperature_head': 0.2, 'latent_dim': 257, 'batch_size': 510, 'transform_funcs': (8,)}"
9573,a11a7363,0.7108843537414966,"{'temperature_head': 0.4, 'latent_dim': 103, 'batch_size': 440, 'transform_funcs': (3,)}"
9830,fb6e113c,0.6731292517006804,"{'temperature_head': 0.2, 'latent_dim': 159, 'batch_size': 417, 'transform_funcs': (4,)}"
9853,557d5bd0,0.691609977324263,"{'temperature_head': 0.1, 'latent_dim': 186, 'batch_size': 371, 'transform_funcs': (8,)}"
10153,cdcb3bcf,0.7721088435374149,"{'temperature_head': 0.6000000000000001, 'latent_dim': 58, 'batch_size': 290, 'transform_funcs': (5,)}"
10394,386860ac,0.7125850340136054,"{'temperature_head': 0.6000000000000001, 'latent_dim': 221, 'batch_size': 484, 'transform_funcs': (1,)}"
10648,e4bf6eb8,0.6502267573696145,"{'temperature_head': 0.1, 'latent_dim': 14, 'batch_size': 393, 'transform_funcs': (2,)}"
10686,e91a52ad,0.6745464852607709,"{'temperature_head': 0.4, 'latent_dim': 139, 'batch_size': 352, 'transform_funcs': (0,)}"
10885,abe06d58,0.7053854875283447,"{'temperature_head': 0.30000000000000004, 'latent_dim': 261, 'batch_size': 195, 'transform_funcs': (6,)}"
10896,25fcb29d,0.6859410430839002,"{'temperature_head': 0.4, 'latent_dim': 568, 'batch_size': 257, 'transform_funcs': (8,)}"
11122,a35645ad,0.6887755102040817,"{'temperature_head': 0.6000000000000001, 'latent_dim': 99, 'batch_size': 241, 'transform_funcs': (5,)}"
11962,a1dddcde,0.6632653061224489,"{'temperature_head': 0.9, 'latent_dim': 408, 'batch_size': 283, 'transform_funcs': (5,)}"
12010,37e57477,0.713718820861678,"{'temperature_head': 1.0, 'latent_dim': 200, 'batch_size': 233, 'transform_funcs': (5,)}"
12090,8f84ca23,0.696201814058957,"{'temperature_head': 1.0, 'latent_dim': 222, 'batch_size': 254, 'transform_funcs': (10,)}"
12186,341da87b,0.7188208616780045,"{'temperature_head': 0.7000000000000001, 'latent_dim': 450, 'batch_size': 286, 'transform_funcs': (5,)}"
12194,de19d65f,0.6710317460317461,"{'temperature_head': 0.6000000000000001, 'latent_dim': 324, 'batch_size': 302, 'transform_funcs': (11,)}"
