iteration,trial_id,score,config
1144,0a61103e,0.8072815533980583,"{'temperature_head': 0.6000000000000001, 'latent_dim': 20, 'batch_size': 284, 'transform_funcs': (1, 4, 8, 10)}"
1364,b71636b8,0.8139697950377561,"{'temperature_head': 0.4, 'latent_dim': 33, 'batch_size': 336, 'transform_funcs': (6, 8, 10, 11)}"
1662,8451f077,0.8112189859762675,"{'temperature_head': 1.0, 'latent_dim': 161, 'batch_size': 350, 'transform_funcs': (0, 3, 8, 9)}"
1821,605488c2,0.8414239482200647,"{'temperature_head': 0.2, 'latent_dim': 191, 'batch_size': 417, 'transform_funcs': (0, 3, 7, 8)}"
1895,8be7291b,0.8025889967637541,"{'temperature_head': 1.0, 'latent_dim': 248, 'batch_size': 486, 'transform_funcs': (0, 6, 7, 10)}"
1985,4771c993,0.8247033441208198,"{'temperature_head': 1.0, 'latent_dim': 67, 'batch_size': 219, 'transform_funcs': (0, 4, 7, 11)}"
2582,c212a421,0.8306364617044228,"{'temperature_head': 0.7000000000000001, 'latent_dim': 194, 'batch_size': 282, 'transform_funcs': (1, 3, 4, 9)}"
3044,3887aec6,0.821359223300971,"{'temperature_head': 0.1, 'latent_dim': 106, 'batch_size': 409, 'transform_funcs': (0, 3, 7, 10)}"
3055,4ecc0a17,0.778856526429342,"{'temperature_head': 0.5, 'latent_dim': 93, 'batch_size': 418, 'transform_funcs': (3, 6, 7, 10)}"
3254,8a628f3d,0.8446601941747572,"{'temperature_head': 0.9, 'latent_dim': 196, 'batch_size': 432, 'transform_funcs': (0, 1, 3, 9)}"
3559,797bd3fc,0.8338727076591155,"{'temperature_head': 0.5, 'latent_dim': 13, 'batch_size': 374, 'transform_funcs': (0, 2, 5, 7)}"
3578,75af70dd,0.8754045307443366,"{'temperature_head': 0.1, 'latent_dim': 204, 'batch_size': 231, 'transform_funcs': (1, 5, 6, 7)}"
3953,1e2fc3b1,0.837108953613808,"{'temperature_head': 0.8, 'latent_dim': 179, 'batch_size': 205, 'transform_funcs': (1, 5, 7, 11)}"
4626,86972817,0.8372707659115426,"{'temperature_head': 1.0, 'latent_dim': 268, 'batch_size': 259, 'transform_funcs': (0, 1, 7, 10)}"
4675,ddd4a619,0.8376483279395901,"{'temperature_head': 0.9, 'latent_dim': 41, 'batch_size': 358, 'transform_funcs': (1, 2, 5, 8)}"
4683,418ad83e,0.8403451995685005,"{'temperature_head': 0.5, 'latent_dim': 270, 'batch_size': 235, 'transform_funcs': (0, 2, 3, 11)}"
4781,6da960f3,0.8323085221143474,"{'temperature_head': 0.5, 'latent_dim': 148, 'batch_size': 291, 'transform_funcs': (1, 2, 6, 7)}"
5054,3ed47a2c,0.8268608414239482,"{'temperature_head': 0.1, 'latent_dim': 124, 'batch_size': 488, 'transform_funcs': (0, 5, 6, 11)}"
