iteration,trial_id,score,config
230,3f03e028,0.6246478873239437,"{'temperature_head': 0.4, 'latent_dim': 44, 'batch_size': 269, 'transform_funcs': (0, 5, 9)}"
324,4f6cd3da,0.6145539906103286,"{'temperature_head': 0.9, 'latent_dim': 56, 'batch_size': 402, 'transform_funcs': (3, 5, 6)}"
418,4bed1b54,0.6474178403755869,"{'temperature_head': 1.0, 'latent_dim': 60, 'batch_size': 331, 'transform_funcs': (0, 2, 11)}"
516,c084c2a5,0.6276995305164319,"{'temperature_head': 0.7000000000000001, 'latent_dim': 74, 'batch_size': 425, 'transform_funcs': (4, 6, 7)}"
601,103da98a,0.6497652582159624,"{'temperature_head': 0.30000000000000004, 'latent_dim': 35, 'batch_size': 292, 'transform_funcs': (1, 4, 7)}"
732,b5dd6e88,0.6056338028169014,"{'temperature_head': 0.5, 'latent_dim': 80, 'batch_size': 276, 'transform_funcs': (5, 8, 10)}"
851,0ed53fbe,0.5814553990610328,"{'temperature_head': 0.2, 'latent_dim': 77, 'batch_size': 454, 'transform_funcs': (1, 2, 10)}"
919,5f3b4162,0.5704225352112676,"{'temperature_head': 0.6000000000000001, 'latent_dim': 8, 'batch_size': 419, 'transform_funcs': (2, 6, 11)}"
1022,dda733ca,0.6422535211267606,"{'temperature_head': 0.8, 'latent_dim': 47, 'batch_size': 169, 'transform_funcs': (4, 6, 8)}"
1157,f0c3bdc8,0.646244131455399,"{'temperature_head': 0.9, 'latent_dim': 84, 'batch_size': 209, 'transform_funcs': (1, 9, 10)}"
1266,2ae471c2,0.6333333333333334,"{'temperature_head': 0.4, 'latent_dim': 33, 'batch_size': 469, 'transform_funcs': (3, 6, 9)}"
1310,4e17c87c,0.6089201877934272,"{'temperature_head': 0.1, 'latent_dim': 52, 'batch_size': 224, 'transform_funcs': (0, 3, 8)}"
1359,7b2e7150,0.6147887323943662,"{'temperature_head': 0.4, 'latent_dim': 25, 'batch_size': 334, 'transform_funcs': (2, 4, 9)}"
1387,59c15058,0.5446009389671361,"{'temperature_head': 0.8, 'latent_dim': 10, 'batch_size': 462, 'transform_funcs': (0, 1, 4)}"
1533,e3cededd,0.623943661971831,"{'temperature_head': 0.2, 'latent_dim': 66, 'batch_size': 166, 'transform_funcs': (0, 3, 10)}"
1551,e63b67b3,0.5657276995305165,"{'temperature_head': 0.1, 'latent_dim': 8, 'batch_size': 269, 'transform_funcs': (0, 2, 8)}"
1657,ff457700,0.6220657276995305,"{'temperature_head': 0.5, 'latent_dim': 39, 'batch_size': 362, 'transform_funcs': (4, 5, 10)}"
1669,517869dc,0.6197183098591549,"{'temperature_head': 0.8, 'latent_dim': 81, 'batch_size': 345, 'transform_funcs': (0, 2, 4)}"
1764,e52f180f,0.6023474178403756,"{'temperature_head': 0.1, 'latent_dim': 72, 'batch_size': 284, 'transform_funcs': (2, 3, 9)}"
1768,804468c3,0.6230046948356807,"{'temperature_head': 0.9, 'latent_dim': 65, 'batch_size': 410, 'transform_funcs': (2, 5, 11)}"
1855,040b8b38,0.6464788732394366,"{'temperature_head': 0.30000000000000004, 'latent_dim': 24, 'batch_size': 304, 'transform_funcs': (2, 4, 7)}"
1887,0b8f7be2,0.6103286384976526,"{'temperature_head': 0.30000000000000004, 'latent_dim': 57, 'batch_size': 374, 'transform_funcs': (0, 5, 6)}"
1950,60d43323,0.6483568075117371,"{'temperature_head': 1.0, 'latent_dim': 27, 'batch_size': 217, 'transform_funcs': (3, 5, 9)}"
1987,7dd03b73,0.5985915492957746,"{'temperature_head': 0.6000000000000001, 'latent_dim': 18, 'batch_size': 315, 'transform_funcs': (4, 9, 11)}"
2080,4e5a50fa,0.6098591549295775,"{'temperature_head': 0.30000000000000004, 'latent_dim': 37, 'batch_size': 247, 'transform_funcs': (0, 1, 3)}"
2103,706c7c24,0.6338028169014085,"{'temperature_head': 0.2, 'latent_dim': 30, 'batch_size': 204, 'transform_funcs': (3, 5, 9)}"
