iteration,trial_id,score,config
687,f47b90ac,0.7131519274376418,"{'temperature_head': 0.9, 'latent_dim': 53, 'batch_size': 243, 'transform_funcs': (6,)}"
792,be6a0710,0.7091836734693877,"{'temperature_head': 0.9, 'latent_dim': 65, 'batch_size': 486, 'transform_funcs': (3,)}"
1037,5c68eb2e,0.7341269841269841,"{'temperature_head': 0.7000000000000001, 'latent_dim': 87, 'batch_size': 292, 'transform_funcs': (3,)}"
1151,6f44f715,0.7074829931972789,"{'temperature_head': 0.2, 'latent_dim': 11, 'batch_size': 360, 'transform_funcs': (4,)}"
1180,72cdf6ba,0.70578231292517,"{'temperature_head': 0.9, 'latent_dim': 59, 'batch_size': 192, 'transform_funcs': (11,)}"
1204,10e65604,0.6944444444444444,"{'temperature_head': 0.2, 'latent_dim': 29, 'batch_size': 140, 'transform_funcs': (11,)}"
1444,77ae9b6e,0.7069160997732427,"{'temperature_head': 0.6000000000000001, 'latent_dim': 33, 'batch_size': 362, 'transform_funcs': (3,)}"
1451,080b251c,0.7131519274376418,"{'temperature_head': 0.9, 'latent_dim': 7, 'batch_size': 155, 'transform_funcs': (3,)}"
1463,0ee802a4,0.6938775510204082,"{'temperature_head': 0.1, 'latent_dim': 45, 'batch_size': 331, 'transform_funcs': (9,)}"
1559,288306f4,0.7109410430839003,"{'temperature_head': 0.2, 'latent_dim': 24, 'batch_size': 260, 'transform_funcs': (4,)}"
1711,baeef5f5,0.699546485260771,"{'temperature_head': 0.30000000000000004, 'latent_dim': 26, 'batch_size': 148, 'transform_funcs': (1,)}"
1799,16b8472c,0.6859410430839002,"{'temperature_head': 0.8, 'latent_dim': 12, 'batch_size': 403, 'transform_funcs': (1,)}"
1978,8fe43bf0,0.7006802721088435,"{'temperature_head': 0.8, 'latent_dim': 23, 'batch_size': 153, 'transform_funcs': (3,)}"
1997,6ac086c5,0.6882086167800453,"{'temperature_head': 0.9, 'latent_dim': 31, 'batch_size': 341, 'transform_funcs': (1,)}"
2073,17dbefd3,0.7074829931972789,"{'temperature_head': 0.2, 'latent_dim': 58, 'batch_size': 494, 'transform_funcs': (3,)}"
2328,b4ff9f88,0.6921768707482994,"{'temperature_head': 0.4, 'latent_dim': 64, 'batch_size': 503, 'transform_funcs': (8,)}"
2367,1a432d06,0.6882653061224491,"{'temperature_head': 0.6000000000000001, 'latent_dim': 61, 'batch_size': 398, 'transform_funcs': (10,)}"
