iteration,trial_id,score,config
585,77aa0431,0.8230852211434736,"{'temperature_head': 0.6000000000000001, 'latent_dim': 11, 'batch_size': 233, 'transform_funcs': (2, 4, 5, 6)}"
877,80ec649b,0.854908306364617,"{'temperature_head': 0.6000000000000001, 'latent_dim': 26, 'batch_size': 502, 'transform_funcs': (1, 2, 4, 10)}"
1139,e76f0e49,-0.1,"{'temperature_head': 0.30000000000000004, 'latent_dim': 177, 'batch_size': 508, 'transform_funcs': (0, 4, 6, 8)}"
1213,4ec328b1,-0.1,"{'temperature_head': 0.2, 'latent_dim': 88, 'batch_size': 361, 'transform_funcs': (1, 2, 4, 7)}"
1274,0823265b,-0.1,"{'temperature_head': 0.8, 'latent_dim': 167, 'batch_size': 130, 'transform_funcs': (0, 3, 4, 5)}"
1927,96a1f922,-0.1,"{'temperature_head': 0.30000000000000004, 'latent_dim': 129, 'batch_size': 233, 'transform_funcs': (1, 4, 7, 11)}"
1974,8f1707ea,-0.1,"{'temperature_head': 0.2, 'latent_dim': 138, 'batch_size': 416, 'transform_funcs': (1, 2, 7, 10)}"
2047,67b7f558,-0.1,"{'temperature_head': 0.9, 'latent_dim': 127, 'batch_size': 148, 'transform_funcs': (1, 3, 8, 9)}"
2089,08508f82,0.8689320388349514,"{'temperature_head': 0.1, 'latent_dim': 90, 'batch_size': 433, 'transform_funcs': (1, 3, 4, 11)}"
2354,aec68c65,-0.1,"{'temperature_head': 0.8, 'latent_dim': 89, 'batch_size': 474, 'transform_funcs': (0, 2, 5, 8)}"
2573,ad88c96c,-0.1,"{'temperature_head': 0.6000000000000001, 'latent_dim': 36, 'batch_size': 369, 'transform_funcs': (3, 4, 5, 11)}"
2885,ea5a90e5,0.8592233009708737,"{'temperature_head': 0.1, 'latent_dim': 117, 'batch_size': 147, 'transform_funcs': (1, 2, 8, 9)}"
3179,0c7e2799,0.8096008629989212,"{'temperature_head': 0.6000000000000001, 'latent_dim': 37, 'batch_size': 319, 'transform_funcs': (1, 5, 7, 8)}"
3213,8c2155ca,0.8559870550161812,"{'temperature_head': 0.9, 'latent_dim': 64, 'batch_size': 391, 'transform_funcs': (6, 8, 9, 11)}"
3261,c53a641b,-0.1,"{'temperature_head': 0.7000000000000001, 'latent_dim': 54, 'batch_size': 400, 'transform_funcs': (0, 3, 4, 7)}"
3270,909d4aec,-0.1,"{'temperature_head': 0.7000000000000001, 'latent_dim': 178, 'batch_size': 160, 'transform_funcs': (2, 8, 9, 11)}"
3365,bca56539,-0.1,"{'temperature_head': 0.2, 'latent_dim': 26, 'batch_size': 400, 'transform_funcs': (1, 8, 9, 11)}"
4257,0e05bf7a,-0.1,"{'temperature_head': 0.1, 'latent_dim': 106, 'batch_size': 260, 'transform_funcs': (0, 6, 9, 11)}"
4392,725e5550,-0.1,"{'temperature_head': 0.1, 'latent_dim': 70, 'batch_size': 189, 'transform_funcs': (1, 2, 8, 9)}"
4452,085c85c0,0.8354908306364617,"{'temperature_head': 0.5, 'latent_dim': 91, 'batch_size': 461, 'transform_funcs': (0, 1, 2, 11)}"
4562,21922825,0.8441208198489751,"{'temperature_head': 0.1, 'latent_dim': 35, 'batch_size': 315, 'transform_funcs': (4, 5, 6, 7)}"
4771,4df6a0cc,-0.1,"{'temperature_head': 0.4, 'latent_dim': 112, 'batch_size': 455, 'transform_funcs': (2, 5, 6, 7)}"
