iteration,trial_id,score,config
209,2b468273,-0.1,"{'temperature_head': 1.0, 'latent_dim': 130, 'batch_size': 432, 'transform_funcs': (1,)}"
233,9bc5b75d,-0.1,"{'temperature_head': 0.6000000000000001, 'latent_dim': 95, 'batch_size': 442, 'transform_funcs': (3,)}"
259,d0f1fc0b,-0.1,"{'temperature_head': 0.8, 'latent_dim': 128, 'batch_size': 353, 'transform_funcs': (5,)}"
282,b89eb9bb,-0.1,"{'temperature_head': 0.9, 'latent_dim': 103, 'batch_size': 492, 'transform_funcs': (11,)}"
307,2c568731,-0.1,"{'temperature_head': 1.0, 'latent_dim': 117, 'batch_size': 426, 'transform_funcs': (1,)}"
332,1dfb2004,-0.1,"{'temperature_head': 0.5, 'latent_dim': 51, 'batch_size': 333, 'transform_funcs': (10,)}"
361,3738c26e,-0.1,"{'temperature_head': 0.4, 'latent_dim': 92, 'batch_size': 378, 'transform_funcs': (0,)}"
384,2a996092,-0.1,"{'temperature_head': 0.30000000000000004, 'latent_dim': 89, 'batch_size': 487, 'transform_funcs': (10,)}"
407,fda19638,-0.1,"{'temperature_head': 0.30000000000000004, 'latent_dim': 62, 'batch_size': 301, 'transform_funcs': (8,)}"
432,106c1423,-0.1,"{'temperature_head': 0.7000000000000001, 'latent_dim': 173, 'batch_size': 246, 'transform_funcs': (1,)}"
455,c9557329,-0.1,"{'temperature_head': 0.9, 'latent_dim': 11, 'batch_size': 273, 'transform_funcs': (6,)}"
468,2ed1a3e4,-0.1,"{'temperature_head': 0.6000000000000001, 'latent_dim': 160, 'batch_size': 356, 'transform_funcs': (7,)}"
481,13798d59,-0.1,"{'temperature_head': 0.2, 'latent_dim': 17, 'batch_size': 274, 'transform_funcs': (11,)}"
501,6eaeb87d,-0.1,"{'temperature_head': 0.2, 'latent_dim': 16, 'batch_size': 272, 'transform_funcs': (3,)}"
509,f2d4b8ef,-0.1,"{'temperature_head': 0.7000000000000001, 'latent_dim': 132, 'batch_size': 151, 'transform_funcs': (3,)}"
527,049e57eb,-0.1,"{'temperature_head': 0.9, 'latent_dim': 108, 'batch_size': 410, 'transform_funcs': (3,)}"
537,1f411467,-0.1,"{'temperature_head': 0.8, 'latent_dim': 41, 'batch_size': 240, 'transform_funcs': (5,)}"
553,0cf52520,-0.1,"{'temperature_head': 0.5, 'latent_dim': 157, 'batch_size': 297, 'transform_funcs': (6,)}"
565,60fd5221,-0.1,"{'temperature_head': 0.9, 'latent_dim': 71, 'batch_size': 214, 'transform_funcs': (7,)}"
580,f180b8c4,-0.1,"{'temperature_head': 0.1, 'latent_dim': 92, 'batch_size': 214, 'transform_funcs': (3,)}"
593,ed8877ad,-0.1,"{'temperature_head': 0.5, 'latent_dim': 149, 'batch_size': 460, 'transform_funcs': (6,)}"
612,6ce8c3ba,-0.1,"{'temperature_head': 1.0, 'latent_dim': 72, 'batch_size': 144, 'transform_funcs': (4,)}"
619,d0ccd68e,-0.1,"{'temperature_head': 0.1, 'latent_dim': 142, 'batch_size': 171, 'transform_funcs': (9,)}"
639,21f6332f,-0.1,"{'temperature_head': 0.4, 'latent_dim': 178, 'batch_size': 456, 'transform_funcs': (2,)}"
647,939b2436,-0.1,"{'temperature_head': 1.0, 'latent_dim': 77, 'batch_size': 397, 'transform_funcs': (4,)}"
666,30a5eb5e,-0.1,"{'temperature_head': 0.1, 'latent_dim': 138, 'batch_size': 174, 'transform_funcs': (9,)}"
679,816fd9c3,-0.1,"{'temperature_head': 0.4, 'latent_dim': 178, 'batch_size': 511, 'transform_funcs': (2,)}"
700,26471221,-0.1,"{'temperature_head': 1.0, 'latent_dim': 37, 'batch_size': 397, 'transform_funcs': (4,)}"
708,b2ce5675,-0.1,"{'temperature_head': 0.6000000000000001, 'latent_dim': 124, 'batch_size': 346, 'transform_funcs': (9,)}"
732,9c9911c5,-0.1,"{'temperature_head': 0.4, 'latent_dim': 167, 'batch_size': 509, 'transform_funcs': (2,)}"
