iteration,trial_id,score,config
201,2b2cb66c,0.5558823529411765,"{'min_delta': 0.756, 'temperature': 1.0, 'latent_dim': 24, 'batch_size': 389, 'transform_funcs': (1, 4, 7, 8)}"
365,e73f95d5,0.6264705882352941,"{'min_delta': 0.778, 'temperature': 0.6000000000000001, 'latent_dim': 89, 'batch_size': 496, 'transform_funcs': (4, 7, 8, 9)}"
393,fc057524,0.6176470588235294,"{'min_delta': 0.757, 'temperature': 0.30000000000000004, 'latent_dim': 83, 'batch_size': 241, 'transform_funcs': (2, 6, 10, 11)}"
509,fb34b990,0.6223529411764707,"{'min_delta': 0.044, 'temperature': 1.5, 'latent_dim': 52, 'batch_size': 329, 'transform_funcs': (5, 6, 9, 11)}"
581,9f75143c,0.6235294117647059,"{'min_delta': 0.747, 'temperature': 1.9000000000000001, 'latent_dim': 87, 'batch_size': 232, 'transform_funcs': (0, 2, 6, 11)}"
586,61485373,0.6094117647058823,"{'min_delta': 0.512, 'temperature': 0.2, 'latent_dim': 66, 'batch_size': 309, 'transform_funcs': (3, 7, 10, 11)}"
702,ec12c730,0.6441176470588236,"{'min_delta': 0.502, 'temperature': 0.7000000000000001, 'latent_dim': 77, 'batch_size': 264, 'transform_funcs': (3, 4, 6, 10)}"
731,0de90829,0.5729411764705883,"{'min_delta': 0.223, 'temperature': 0.1, 'latent_dim': 32, 'batch_size': 302, 'transform_funcs': (2, 3, 6, 9)}"
765,c25ae9f8,0.6558823529411765,"{'min_delta': 0.031, 'temperature': 0.30000000000000004, 'latent_dim': 11, 'batch_size': 335, 'transform_funcs': (3, 6, 7, 10)}"
813,902bcbe8,0.6147058823529412,"{'min_delta': 0.487, 'temperature': 1.1, 'latent_dim': 67, 'batch_size': 299, 'transform_funcs': (1, 9, 10, 11)}"
860,d19dfcaf,0.5352941176470588,"{'min_delta': 0.505, 'temperature': 1.4000000000000001, 'latent_dim': 22, 'batch_size': 243, 'transform_funcs': (0, 5, 8, 9)}"
904,a0b5dda5,0.6270588235294119,"{'min_delta': 0.16, 'temperature': 0.9, 'latent_dim': 53, 'batch_size': 324, 'transform_funcs': (1, 2, 7, 8)}"
907,083715a2,0.638235294117647,"{'min_delta': 0.395, 'temperature': 0.7000000000000001, 'latent_dim': 32, 'batch_size': 141, 'transform_funcs': (0, 3, 6, 8)}"
974,b2f26ab5,0.5938235294117646,"{'min_delta': 0.633, 'temperature': 0.6000000000000001, 'latent_dim': 53, 'batch_size': 321, 'transform_funcs': (2, 4, 6, 10)}"
1010,563eec1e,0.5852941176470589,"{'min_delta': 0.63, 'temperature': 1.5, 'latent_dim': 15, 'batch_size': 173, 'transform_funcs': (0, 3, 6, 8)}"
1042,1f44a519,0.5705882352941176,"{'min_delta': 0.615, 'temperature': 1.6, 'latent_dim': 31, 'batch_size': 407, 'transform_funcs': (2, 3, 4, 6)}"
1065,8b9e44a1,0.5885294117647057,"{'min_delta': 0.538, 'temperature': 0.6000000000000001, 'latent_dim': 68, 'batch_size': 341, 'transform_funcs': (0, 3, 8, 9)}"
1158,92b58ea2,0.6235294117647059,"{'min_delta': 0.148, 'temperature': 1.8, 'latent_dim': 56, 'batch_size': 283, 'transform_funcs': (2, 4, 9, 10)}"
1161,743487c2,0.5264705882352941,"{'min_delta': 0.887, 'temperature': 0.4, 'latent_dim': 6, 'batch_size': 382, 'transform_funcs': (0, 4, 8, 10)}"
